"","Taxon","X","site_code","n_treat_years","sum.ctrl.cover","mean.ctrl.cover","sum.drt.cover","mean.drt.cover","sum.cover.response","mean.cover.response","leafN.mg.g","height.m","rootN.mg.g","SLA_m2.kg","root.depth_m","RTD.g.cm3","SRL_m.g","rootDiam.mm","local_lifeform","local_lifespan","functional_group"
"25","AIRA ELEGANTISSIMA",3358,"jilpanger.au",1,2.5,0.625,0.5,0.5,-2,-0.125,NA,0.45,NA,25.838354,0.066,NA,NA,0.228,"GRASS","ANNUAL","GRASS"
"51","APERA SPICA-VENTI",434,"baddrt.de",1,38.1,4.7625,28.1,9.366666667,-10,4.604166667,NA,0.775,NA,19.13333333,0.66,NA,193.8,NA,"GRASS","ANNUAL","GRASS"
"55","ARISTIDA HOLATHERA",2812,"ethadb.au",1,29,14.5,3,3,-26,-11.5,8.4875,0.7,2.975,5.62,NA,0.745,NA,0.375,"GRASS","ANNUAL","GRASS"
"86","AVENA BARBATA",4565,"naposta.ar",1,30,15,40,20,10,5,17,0.389,NA,25.674375,0.5,0.02363125,149,0.373688235,"GRASS","ANNUAL","GRASS"
"87","AVENA BARBATA",5832,"scruzl.us",1,16.4173379,5.472445967,1.2195122,1.2195122,-15.1978257,-4.252933767,17,0.389,NA,25.674375,0.5,0.02363125,149,0.373688235,"GRASS","ANNUAL","GRASS"
"88","AVENA BARBATA",5909,"scruzm.us",1,379.5683787,75.91367574,330.8987202,66.17974404,-48.6696585,-9.7339317,17,0.389,NA,25.674375,0.5,0.02363125,149,0.373688235,"GRASS","ANNUAL","GRASS"
"94","BOUTELOUA ARISTIDOIDES",1737,"cerrillos.ar",1,25.63,12.815,73.13,36.565,47.5,23.75,15.9,0.04,NA,12.89,0.3,NA,103.65,NA,"GRASS","ANNUAL","GRASS"
"99","BRACHYPODIUM DISTACHYON",5916,"scruzm.us",1,1.0416667,1.0416667,1.8348624,1.8348624,0.7931957,0.7931957,27.125,0.1005,NA,30.85889908,0.5,NA,NA,NA,"FORB","ANNUAL","GRASS"
"108","BROMUS DIANDRUS",5925,"scruzm.us",1,9.0340522,2.25851305,2.1978022,2.1978022,-6.83625,-0.06071085,19.4,0.99,NA,39,NA,NA,238.8,NA,"GRASS","ANNUAL","GRASS"
"109","BROMUS DIANDRUS",5838,"scruzl.us",1,23.2323232,11.6161616,1.2195122,1.2195122,-22.012811,-10.3966494,19.4,0.99,NA,39,NA,NA,238.8,NA,"GRASS","ANNUAL","GRASS"
"112","BROMUS HORDEACEUS",440,"baddrt.de",1,1.1,0.55,0.02,0.01,-1.08,-0.54,25.57289667,0.6899,10.2,27.25455017,0.254,0.137083333,471.2364007,0.2,"GRASS","ANNUAL","GRASS"
"113","BROMUS HORDEACEUS",5724,"scruzh.us",1,5.2691476,2.6345738,5.5385661,2.76928305,0.2694185,0.13470925,25.57289667,0.6899,10.2,27.25455017,0.254,0.137083333,471.2364007,0.2,"GRASS","ANNUAL","GRASS"
"115","BROMUS JAPONICUS",4906,"oreaa.us",1,1.5,0.5,1.5,0.5,0,0,20.898,0.424044444,NA,19.31803729,1.5,NA,NA,0.54,"GRASS","ANNUAL","GRASS"
"116","BROMUS JAPONICUS",5020,"oreac.us",1,15,3,65.5,13.1,50.5,10.1,20.898,0.424044444,NA,19.31803729,1.5,NA,NA,0.54,"GRASS","ANNUAL","GRASS"
"117","BROMUS JAPONICUS",1507,"cdpt_drt.us",1,4,2,4,4,0,2,20.898,0.424044444,NA,19.31803729,1.5,NA,NA,0.54,"GRASS","ANNUAL","GRASS"
"118","BROMUS RUBENS",4618,"nnss.us",1,29.8615225,2.98615225,2.4126596,0.48253192,-27.4488629,-2.50362033,28.7686987,0.39624,NA,18.713372,0.2032,NA,NA,NA,"GRASS","ANNUAL","GRASS"
"119","BROMUS RUBENS",1406,"capmcd.us",1,2,0.5,0.5,0.5,-1.5,0,28.7686987,0.39624,NA,18.713372,0.2032,NA,NA,NA,"GRASS","ANNUAL","GRASS"
"120","BROMUS RUBENS",2918,"gmgranite.us",1,2.5,0.5,0.5,0.5,-2,0,28.7686987,0.39624,NA,18.713372,0.2032,NA,NA,NA,"GRASS","ANNUAL","GRASS"
"121","BROMUS RUBENS",2949,"gmmolar.us",1,9,1.285714286,10,1.428571429,1,0.142857143,28.7686987,0.39624,NA,18.713372,0.2032,NA,NA,NA,"GRASS","ANNUAL","GRASS"
