,Taxon,X.x,site_code,n_treat_years,sum.ctrl.cover,mean.ctrl.cover,sum.drt.cover,mean.drt.cover,sum.cover.response,mean.cover.response,X.y,leafN.mg.g,height.m,rootN.mg.g,SLA_m2.kg,root.depth_m,RTD.g.cm3,SRL_m.g,rootDiam.mm,local_lifeform,local_lifespan,functional_group
13,AGROSTIS CANINA,4085,lygraint.no,1,3,1,1,1,-2,0,23,20.86288625,0.4223,9.3,33.1583154,0.254,NA,NA,0.15,GRASS,NULL,GRASS
14,AGROSTIS CAPILLARIS,5342,pineta.es,1,282,47,223,37.16666667,-59,-9.833333333,24,27.65006595,0.393022873,8.907142857,29.44748071,0.3048,0.230872486,141.2639378,0.128571429,GRASS,PERENNIAL,GRASS
15,AGROSTIS CAPILLARIS,4088,lygraint.no,1,1,1,3,1,2,0,24,27.65006595,0.393022873,8.907142857,29.44748071,0.3048,0.230872486,141.2639378,0.128571429,GRASS,PERENNIAL,GRASS
16,AGROSTIS MONTEVIDENSIS,4297,marcdrt.ar,1,16,8,11,5.5,-5,-2.5,26,NA,0.229358974,NA,12,NA,NA,NA,NA,FORB,PERENNIAL,GRASS
17,AGROSTIS RUPESTRIS,5252,passogavia.it,1,12.5,2.5,8.5,1.7,-4,-0.8,27,17,0.035,NA,15.5,NA,NA,NA,NA,GRASS,PERENNIAL,GRASS
18,AGROSTIS SCABRA,4482,mattheis.ca,1,5,5,3,3,-2,-2,28,8.00326776,0.274,12.3048825,9.409573332,0.3048,0.2,109,0.21,GRASS,PERENNIAL,GRASS
19,AGROSTIS SCABRA,3499,kernb.ca,1,9,3,4,1.333333333,-5,-1.666666667,28,8.00326776,0.274,12.3048825,9.409573332,0.3048,0.2,109,0.21,GRASS,PERENNIAL,GRASS
20,AGROSTIS STOLONIFERA,2535,elvadrt.ee,1,1,1,2,1,1,0,29,31.5111841,0.414942857,6.2,31.65060428,0.3048,0.212659866,353.7043306,0.1,GRASS,PERENNIAL,GRASS
21,AIRA ELEGANTISSIMA,3358,jilpanger.au,1,2.5,0.625,0.5,0.5,-2,-0.125,32,NA,0.45,NA,25.838354,0.066,NA,NA,0.228,GRASS,ANNUAL,GRASS
24,ALOPECURUS PRATENSIS,569,bayrdrt.de,1,175,43.75,265,53,90,9.25,39,23.8325776,0.806266667,9.698958476,27.30021588,0.3048,0.069943613,230.6921222,0.305414955,GRASS,PERENNIAL,GRASS
25,ALOPECURUS PRATENSIS,6299,validate.fr,1,30,6,82,16.4,52,10.4,39,23.8325776,0.806266667,9.698958476,27.30021588,0.3048,0.069943613,230.6921222,0.305414955,GRASS,PERENNIAL,GRASS
35,ANDROPOGON GERARDII,3864,konzadrt.us,1,250,50,268,53.6,18,3.6,49,11.43191184,1.43,14.4,7.475763032,0.508,0.2,65.1,0.7,GRASS,PERENNIAL,GRASS
36,ANDROPOGON GERARDII,1640,cedartrait.us,1,136,17,32,6.4,-104,-10.6,49,11.43191184,1.43,14.4,7.475763032,0.508,0.2,65.1,0.7,GRASS,PERENNIAL,GRASS
37,ANDROPOGON GERARDII,1546,cedarsav.us,1,120,17.14285714,44,8.8,-76,-8.342857143,49,11.43191184,1.43,14.4,7.475763032,0.508,0.2,65.1,0.7,GRASS,PERENNIAL,GRASS
38,ANDROPOGON GERARDII,1283,brookdale.ca,1,5.75,2.875,7.833333333,2.611111111,2.083333333,-0.263888889,49,11.43191184,1.43,14.4,7.475763032,0.508,0.2,65.1,0.7,GRASS,PERENNIAL,GRASS
39,ANDROPOGON GERARDII,5392,purdue.us,1,150,18.75,80,26.66666667,-70,7.916666667,49,11.43191184,1.43,14.4,7.475763032,0.508,0.2,65.1,0.7,GRASS,PERENNIAL,GRASS
42,ANTHOXANTHUM ODORATUM,2105,cowidrt.ca,1,10,3.333333333,17,3.4,7,0.066666667,57,23.59023243,0.383753535,8.005555556,24.91123988,0.155,0.107066623,344.3025853,0.111111111,GRASS,PERENNIAL,GRASS
