,Taxon,Genus,Hybrid.marker,Species,Abbrev,Infraspecific.rank,Infraspecific,Authority,ID,Plant.Name.Index,TPL.version,Taxonomic.status,Family,New.Genus,New.Hybrid.marker,New.Species,New.Infraspecific.rank,New.Infraspecific,New.Authority,New.ID,New.Taxonomic.status,Typo,WFormat,Higher.level,Date
1,ABUTILON HALOPHILUM,ABUTILON,,halophilum,NA,NA,,,kew-2610667,TRUE,1.1,Accepted,Malvaceae,Abutilon,,halophilum,,,F.Muell. ex Schltdl.,kew-2610667,Accepted,FALSE,FALSE,FALSE,3/20/23
2,ABUTILON MICROPHYLLA,ABUTILON,,microphylla,NA,NA,,,kew-2610797,TRUE,1.1,Synonym,Malvaceae,Abutilon,,fruticosum,,,Guill. & Perr.,kew-2610628,Accepted,TRUE,FALSE,FALSE,3/20/23
3,ACACIA CAVEN,ACACIA,,caven,NA,NA,,,ild-24882,TRUE,1.1,Accepted,Leguminosae,Acacia,,caven,,,(Molina) Molina,ild-24882,Accepted,FALSE,FALSE,FALSE,3/20/23
4,ACACIA GREGGII,ACACIA,,greggii,NA,NA,,,ild-10249,TRUE,1.1,Accepted,Leguminosae,Acacia,,greggii,,,A.Gray,ild-10249,Accepted,FALSE,FALSE,FALSE,3/20/23
5,ACACIA TETRAGONOPHYLLA,ACACIA,,tetragonophylla,NA,NA,,,ild-47869,TRUE,1.1,Accepted,Leguminosae,Acacia,,tetragonophylla,,,F.Muell.,ild-47869,Accepted,FALSE,FALSE,FALSE,3/20/23
6,ACAENA ECHINATA,ACAENA,,echinata,NA,NA,,,rjp-11978,TRUE,1.1,Unresolved,Rosaceae,Acaena,,echinata,,,Nees,rjp-11978,Unresolved,FALSE,FALSE,FALSE,3/20/23
7,ACAENA PINNATIFIDA,ACAENA,,pinnatifida,NA,NA,,,rjp-3737,TRUE,1.1,Accepted,Rosaceae,Acaena,,pinnatifida,,,Ruiz & Pav.,rjp-3737,Accepted,FALSE,FALSE,FALSE,3/20/23
8,ACAENA POEPPIGIANA,ACAENA,,poeppigiana,NA,NA,,,rjp-12576,TRUE,1.1,Accepted,Rosaceae,Acaena,,poeppigiana,,,Gay,rjp-12576,Accepted,FALSE,FALSE,FALSE,3/20/23
9,ACALYPHA ANGUSTATA,ACALYPHA,,angustata,NA,NA,,,kew-190,TRUE,1.1,Accepted,Euphorbiaceae,Acalypha,,angustata,,,Sond.,kew-190,Accepted,FALSE,FALSE,FALSE,3/20/23
10,ACALYPHA ARVENSIS,ACALYPHA,,arvensis,NA,NA,,,kew-208,TRUE,1.1,Synonym,Euphorbiaceae,Acalypha,,aristata,,,Kunth,kew-206,Accepted,FALSE,FALSE,FALSE,3/20/23
11,ACAMPTOPAPPUS SHOCKLEYI,ACAMPTOPAPPUS,,shockleyi,NA,NA,,,gcc-108895,TRUE,1.1,Accepted,Compositae,Acamptopappus,,shockleyi,,,A.Gray,gcc-108895,Accepted,FALSE,FALSE,FALSE,3/20/23
12,ACANTHOLIPPIA SERIPHIOIDES,ACANTHOLIPPIA,,seriphioides,NA,NA,,,kew-1475,TRUE,1.1,Accepted,Verbenaceae,Acantholippia,,seriphioides,,,(A.Gray) Moldenke,kew-1475,Accepted,FALSE,FALSE,FALSE,3/20/23
13,ACER MACROPHYLLUM,ACER,,macrophyllum,NA,NA,,,kew-2615900,TRUE,1.1,Accepted,Sapindaceae,Acer,,macrophyllum,,,Pursh,kew-2615900,Accepted,FALSE,FALSE,FALSE,3/20/23
14,ACER PLATANOIDES,ACER,,platanoides,NA,NA,,,kew-2616254,TRUE,1.1,Accepted,Sapindaceae,Acer,,platanoides,,,L.,kew-2616254,Accepted,FALSE,FALSE,FALSE,3/20/23
