"","Taxon","X.x","site_code","mean.ctrl.cover","mean.drt.cover","mean.cover.response","X.y","leafN.mg.g","height.m","rootN.mg.g","SLA_m2.kg","root.depth_m","RTD.g.cm3","SRL_m.g","rootDiam.mm","local_lifeform","local_lifespan","functional_group"
"13","AGROSTIS CANINA",4079,"lygraint.no",1,1,0,23,20.86288625,0.4223,9.3,33.1583154,0.254,NA,NA,0.15,"GRASS","PERENNIAL","GRASS"
"14","AGROSTIS CAPILLARIS",5336,"pineta.es",47,37.16666667,-9.833333333,24,27.65006595,0.393022873,8.907142857,29.44748071,0.3048,0.230872486,141.2639378,0.128571429,"GRASS","PERENNIAL","GRASS"
"15","AGROSTIS CAPILLARIS",4082,"lygraint.no",1,1,0,24,27.65006595,0.393022873,8.907142857,29.44748071,0.3048,0.230872486,141.2639378,0.128571429,"GRASS","PERENNIAL","GRASS"
"16","AGROSTIS MONTEVIDENSIS",4291,"marcdrt.ar",8,5.5,-2.5,26,NA,0.229358974,NA,12,NA,NA,NA,NA,"FORB","PERENNIAL","GRASS"
"17","AGROSTIS RUPESTRIS",5246,"passogavia.it",2.5,1.7,-0.8,27,17,0.035,NA,15.5,NA,NA,NA,NA,"GRASS","PERENNIAL","GRASS"
"18","AGROSTIS SCABRA",3493,"kernb.ca",3,1.333333333,-1.666666667,28,8.00326776,0.274,12.3048825,9.409573332,0.3048,0.2,109,0.21,"GRASS","PERENNIAL","GRASS"
"19","AGROSTIS SCABRA",4476,"mattheis.ca",5,3,-2,28,8.00326776,0.274,12.3048825,9.409573332,0.3048,0.2,109,0.21,"GRASS","PERENNIAL","GRASS"
"20","AGROSTIS STOLONIFERA",2529,"elvadrt.ee",1,1,0,29,31.5111841,0.414942857,6.2,31.65060428,0.3048,0.212659866,353.7043306,0.1,"GRASS","PERENNIAL","GRASS"
"24","ALOPECURUS PRATENSIS",569,"bayrdrt.de",43.75,53,9.25,39,23.8325776,0.806266667,9.698958476,27.30021588,0.3048,0.069943613,230.6921222,0.305414955,"GRASS","PERENNIAL","GRASS"
"25","ALOPECURUS PRATENSIS",6293,"validate.fr",6,16.4,10.4,39,23.8325776,0.806266667,9.698958476,27.30021588,0.3048,0.069943613,230.6921222,0.305414955,"GRASS","PERENNIAL","GRASS"
"35","ANDROPOGON GERARDII",1635,"cedartrait.us",17,6.4,-10.6,49,11.43191184,1.43,14.4,7.475763032,0.508,0.2,65.1,0.7,"GRASS","PERENNIAL","GRASS"
"36","ANDROPOGON GERARDII",1278,"brookdale.ca",2.875,2.611111111,-0.263888889,49,11.43191184,1.43,14.4,7.475763032,0.508,0.2,65.1,0.7,"GRASS","PERENNIAL","GRASS"
