"","unique(all.data.2$Taxon)"
"89","GALIUM APARINE"
"90","HYPERICUM PERFORATUM"
"91","HYPOCHAERIS RADICATA"
"92","LOLIUM PERENNE"
"93","PICRIS HIERACIOIDES"
"94","POA TRIVIALIS"
"95","PRUNUS AVIUM"
"96","RUMEX CRISPUS"
"97","SENECIO LEUCANTHEMIFOLIUS"
"98","SOLIDAGO CANADENSIS"
"99","SONCHUS ASPER"
"100","SONCHUS OLERACEUS"
"101","TRAGOPOGON PRATENSIS"
"102","TRIPLEUROSPERMUM INODORUM"
"103","VICIA SATIVA"
"104","VULPIA MYUROS"
"105","ALOPECURUS PRATENSIS"
"106","ARRHENATHERUM ELATIUS"
"107","BETULA PENDULA"
"108","CERASTIUM FONTANUM"
"109","CYNOSURUS CRISTATUS"
"110","FESTUCA RUBRA"
"111","HIERACIUM PILOSELLA"
"112","LUZULA CAMPESTRIS"
"113","PHLEUM PRATENSE"
"114","PILOSELLA AURANTIACA"
"115","PILOSELLA PILOSELLOIDES"
"116","POA PRATENSIS"
"117","QUERCUS ROBUR"
"118","RANUNCULUS ACRIS"
"119","SCORZONEROIDES AUTUMNALIS"
"120","TRIFOLIUM REPENS"
"121","VERONICA ARVENSIS"
"122","VERONICA SERPYLLIFOLIA"
"123","VICIA ARTICULATA"
"124","VICIA CRACCA"
"125","VICIA SEPIUM"
"126","AMBROSIA PSILOSTACHYA"
"127","ANDROPOGON GLOMERATUS"
"128","CROTON GLANDULOSUS"
"129","CROTON LINDHEIMERIANUS"
"130","DESMANTHUS ACUMINATUS"
"131","DICHANTHELIUM OLIGOSANTHES"
"132","EVOLVULUS SERICEUS"
"133","GALACTIA MARGINALIS"
"134","HEDEOMA ACINOIDES"
"135","HELENIUM AMARUM"
"136","HETEROPOGON CONTORTUS"
"137","HYPERICUM DRUMMONDII"
"138","IVA ANGUSTIFOLIA"
"139","LECHEA SAN-SABEANA"
"140","LIATRIS PUNCTATA"
"141","LINUM RIGIDUM"
"142","PHYLLANTHUS POLYGONOIDES"
"143","PLANTAGO RHODOSPERMA"
"144","POLYPREMUM PROCUMBENS"
"145","QUERCUS FUSIFORMIS"
"146","RUDBECKIA HIRTA"
"147","SCHIZACHYRIUM SCOPARIUM"
"148","STENARIA NIGRICANS"
"149","SYMPHYOTRICHUM DRUMMONDII"
"150","THELESPERMA FILIFOLIUM"
"151","TORILIS ARVENSIS"
"152","ARTEMISIA FRIGIDA"
"153","ARTEMISIA LUDOVICIANA"
"154","CAMPANULA ROTUNDIFOLIA"
"155","CERASTIUM ARVENSE"
"156","CHONDROSUM GRACILE"
"157","ELYMUS SMITHII"
"158","FESTUCA ALTAICA"
"159","HELICTOTRICHON HOOKERI"
"160","KOELERIA MACRANTHA"
"161","LYGODESMIA JUNCEA"
