"","Taxon","X.x","site_code","mean.ctrl.cover","mean.drt.cover","mean.cover.response","X.y","leafN.mg.g","height.m","rootN.mg.g","SLA_m2.kg","root.depth_m","RTD.g.cm3","SRL_m.g","rootDiam.mm","local_lifeform","local_lifespan","functional_group"
"21","AIRA ELEGANTISSIMA",3352,"jilpanger.au",0.625,0.5,-0.125,32,NA,0.45,NA,25.838354,0.066,NA,NA,0.228,"GRASS","ANNUAL","GRASS"
"46","APERA SPICA-VENTI",434,"baddrt.de",4.7625,9.366666667,4.604166667,59,NA,0.775,NA,19.13333333,0.66,NA,193.8,NA,"GRASS","ANNUAL","GRASS"
"50","ARISTIDA HOLATHERA",2806,"ethadb.au",14.5,3,-11.5,67,8.4875,0.7,2.975,5.62,NA,NA,NA,0.375,"GRASS","ANNUAL","GRASS"
"71","AVENA BARBATA",5903,"scruzm.us",75.91367574,66.17974404,-9.7339317,105,17,0.389,NA,25.674375,0.5,0.02363125,149,0.373688235,"GRASS","ANNUAL","GRASS"
"72","AVENA BARBATA",4559,"naposta.ar",15,20,5,105,17,0.389,NA,25.674375,0.5,0.02363125,149,0.373688235,"GRASS","ANNUAL","GRASS"
"73","AVENA BARBATA",5826,"scruzl.us",5.472445967,1.2195122,-4.252933767,105,17,0.389,NA,25.674375,0.5,0.02363125,149,0.373688235,"GRASS","ANNUAL","GRASS"
"80","BOUTELOUA ARISTIDOIDES",1732,"cerrillos.ar",12.815,36.565,23.75,127,15.9,0.04,NA,12.89,0.3,NA,103.65,NA,"GRASS","ANNUAL","GRASS"
"85","BRACHYPODIUM DISTACHYON",5910,"scruzm.us",1.0416667,1.8348624,0.7931957,132,21.9,0.1005,NA,30.85889908,0.5,NA,NA,NA,"FORB","ANNUAL","GRASS"
"90","BRIZA MAXIMA",5710,"scruzh.us",26.74486566,39.30012252,12.55525686,137,10.2,0.6096,NA,NA,0.254,NA,120.3,0.57,"FORB","ANNUAL","GRASS"
"91","BRIZA MAXIMA",5913,"scruzm.us",2.45535715,3.6697248,1.21436765,137,10.2,0.6096,NA,NA,0.254,NA,120.3,0.57,"FORB","ANNUAL","GRASS"
"96","BROMUS DIANDRUS",5919,"scruzm.us",2.25851305,2.1978022,-0.06071085,142,19.4,0.99,NA,39,NA,NA,238.8,NA,"GRASS","ANNUAL","GRASS"
