AccSpeciesName,Leaf area,Leaf carbon (C) content per leaf dry mass,Leaf nitrogen (N) content per leaf dry mass,Plant height vegetative.cm,Root carbon (C) content per root dry mass,Root nitrogen (N) content per root dry mass,Seed dry mass,Specific leaf area,Leaf thickness,Root rooting depth,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",Root diameter,"Fine root length per fine root dry mass (specific fine root length, SRL)",Coarse root nitrogen (N) content per coarse root dry mass,Fine root carbon (C) content per fine root dry mass,Fine root nitrogen (N) content per fine root dry mass
Ambrosia artemisiifolia,3781.883333,NA,23.1,0.909666667,NA,NA,3.99,21.45333609,NA,NA,0.151706667,NA,NA,NA,NA,NA
Ambrosia dumosa,NA,NA,29.546,0.6096,NA,NA,103.0750113,NA,NA,0.3048,NA,NA,NA,NA,NA,NA
Ambrosia psilostachya,469.5356279,405.0709762,18.97013095,0.573,NA,NA,6.6635,15.44603169,NA,NA,0.312764362,NA,NA,NA,NA,NA
Ambrosia tenuifolia,NA,NA,28.1,NA,NA,NA,NA,11.245,0.344166667,NA,NA,NA,NA,NA,NA,NA
Amorpha canescens,1117.697486,483.6941304,22.25861206,0.9096,NA,NA,2.06066574,22.32649922,NA,0.508,0.407094503,NA,NA,NA,NA,NA
Amphicarpaea bracteata,NA,NA,23.5625,NA,NA,NA,31.045,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amsinckia tessellata,NA,NA,NA,NA,NA,NA,4.459166667,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anagallis arvensis,104,NA,NA,0.187,NA,NA,0.46794,28.34396552,0.25,NA,0.142,NA,NA,NA,NA,NA
Andropogon gerardii,1622.15395,459.365622,11.43191184,1.148072222,413.4,14.4,2.286543361,19.32942295,0.12,0.508,0.352528624,0.1,NA,NA,NA,NA
Andropogon glomeratus,NA,NA,15.3,1.92024,NA,NA,1.289630612,NA,NA,0.3048,NA,NA,NA,NA,NA,NA
Andropogon virginicus,NA,NA,13.3,0.763593333,NA,NA,0.411924396,11.86738259,NA,0.3556,0.516386487,NA,NA,NA,NA,NA
Androsace septentrionalis,26.29,NA,NA,0.187222222,NA,NA,0.193,21.53583333,NA,NA,0.176933333,NA,NA,NA,NA,NA
Antennaria neglecta,280.392619,424.2126667,14.85633333,0.3048,NA,NA,0.078206998,17.70998319,NA,0.2286,NA,NA,NA,NA,NA,NA
Anthoxanthum odoratum,225.4777443,445.5531639,23.59023243,0.383753535,418.7333333,8.005555556,0.6351875,24.91123988,0.129638889,NA,0.317219517,0.111111111,NA,NA,NA,NA
Anthyllis vulneraria,1007,436.8483348,32.33118574,0.2845,NA,19.6042,2.927449091,18.21819656,0.37,NA,0.167130925,NA,NA,NA,NA,NA
Aphanes arvensis,38,NA,NA,0.128333333,NA,NA,0.1912375,16.71818182,0.21,NA,0.264,NA,NA,NA,NA,NA
Apocynum cannabinum,NA,NA,NA,0.95292,NA,NA,0.967932367,10.21642474,NA,0.3048,NA,NA,NA,NA,NA,NA
Arenaria serpyllifolia,9.362,NA,NA,0.2178,NA,NA,0.076380229,21.35760291,0.222,NA,0.225212222,NA,NA,NA,NA,NA
Argyrolobium zanonii,NA,NA,NA,NA,NA,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aristida contorta,30,NA,NA,0.3,NA,NA,2.238333333,9.37,NA,NA,NA,NA,NA,NA,NA,NA
Aristida holathera,100,520,8.4875,0.7,535,2.975,NA,5.62,0.195,NA,NA,0.375,NA,NA,NA,NA
Aristida purpurea,NA,NA,NA,NA,NA,NA,1.16,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aristida setifolia,NA,NA,NA,NA,NA,NA,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aristida stricta,NA,NA,NA,1.18872,NA,NA,0.712898551,NA,NA,0.1524,NA,NA,NA,NA,NA,NA
Armeria maritima,NA,NA,17,0.308106667,NA,NA,0.62,NA,NA,0.254,0.17294,NA,NA,NA,NA,NA
Arrhenatherum elatius,1223,429.0133333,29.13532598,0.989798495,NA,NA,2.702454099,29.00111419,0.14,0.3556,0.26491161,NA,NA,NA,NA,NA
Artemisia absinthium,2475.5,NA,NA,0.802333333,NA,NA,0.107732857,24.66323678,0.16167,NA,0.2205,NA,NA,NA,NA,NA
Artemisia arbuscula,NA,NA,NA,0.6096,NA,NA,0.607972506,NA,NA,0.254,NA,NA,NA,NA,NA,NA
Artemisia campestris,180.8916667,NA,28.42,0.637875,NA,NA,0.165679167,12.76973075,NA,NA,0.21680713,NA,NA,NA,NA,NA
Artemisia cana,NA,NA,NA,1.524,NA,NA,0.400022744,NA,NA,0.508,NA,NA,NA,NA,NA,NA
Artemisia filifolia,NA,NA,NA,NA,NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA
Artemisia frigida,236.5555556,441.0966667,27.14787037,0.6096,NA,NA,0.0766,15.13958917,NA,0.2032,NA,NA,NA,NA,NA,NA
Artemisia ludoviciana,361.0964742,444.6546364,19.24454545,0.59195,NA,NA,0.158941027,16.4954108,NA,0.2032,0.319409336,NA,NA,NA,NA,NA
Artemisia nova,NA,NA,NA,0.6096,NA,NA,1.037692113,NA,NA,0.254,NA,NA,NA,NA,NA,NA
Artemisia tridentata,43.97777778,NA,15.26666667,2.0334,NA,NA,0.330202386,7.24415531,NA,0.508,NA,NA,NA,NA,NA,NA
Artemisia vulgaris,3914.426333,424.1666667,44.63333333,1.439387862,NA,NA,0.152111429,21.44697757,0.154,NA,0.232392647,NA,NA,NA,NA,NA
Asclepias viridis,NA,NA,NA,0.456,NA,NA,5.2525,10.46681531,NA,NA,0.228371869,NA,NA,NA,NA,NA
Asperula aristata,NA,NA,NA,NA,NA,NA,0.74,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asperula cynanchica,18.4,NA,NA,0.284375,NA,NA,0.848,27.91666667,NA,NA,0.323386667,NA,NA,NA,NA,NA
Aster squamatus,NA,NA,NA,0.3,NA,NA,0.114166667,24.49096986,0.304,NA,NA,NA,NA,NA,NA,NA
Astragalus agrestis,NA,NA,NA,0.3048,NA,NA,3.774154589,NA,NA,0.254,NA,NA,NA,NA,NA,NA
Astragalus flexuosus,NA,NA,NA,NA,NA,NA,1.575,NA,NA,NA,NA,NA,NA,NA,NA,NA
Astragalus laxmannii,NA,NA,NA,NA,NA,NA,1.506666667,13.514,NA,NA,NA,NA,NA,NA,NA,NA
Astragalus missouriensis,NA,NA,NA,NA,NA,NA,3.46,NA,NA,NA,NA,NA,NA,NA,NA,NA
Astragalus nuttallianus,NA,NA,NA,NA,NA,NA,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Astrantia major,10612.64833,444.67,28.539,0.4215,NA,NA,3.11,22.75909384,NA,NA,0.173901667,NA,NA,NA,NA,NA
Astrebla lappacea,155.1498,NA,NA,0.65,NA,NA,2.88,11.43619445,NA,NA,NA,NA,NA,NA,NA,NA
Astrebla pectinata,NA,NA,NA,NA,NA,NA,2.847666667,NA,NA,NA,NA,NA,NA,NA,NA,NA
Astroloma humifusum,7.322,NA,NA,0.1,NA,NA,61.56,7.958695652,NA,NA,NA,NA,NA,NA,NA,NA
Avena barbata,119,389,17,0.389,NA,NA,8.237367738,25.674375,NA,NA,0.255333333,NA,NA,NA,NA,NA
Axonopus fissifolius,NA,NA,NA,0.07836831,NA,NA,0.3705,NA,0.167985612,NA,NA,NA,NA,NA,NA,NA
Axyris amaranthoides,NA,NA,NA,1.2,NA,NA,1.32,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baccharis ulicina,NA,NA,NA,NA,NA,NA,NA,NA,0.22,NA,NA,NA,NA,NA,NA,NA
Baptisia alba,NA,NA,22.3,0.972,NA,NA,16.1,22.05414615,NA,NA,0.248328025,NA,NA,NA,NA,NA
Bassia laniflora,NA,NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bassia scoparia,99.0625,NA,32.45,1.184444444,NA,NA,1.09664,19.65690846,0.264,NA,0.194348,NA,NA,NA,NA,NA
Bellis perennis,359,NA,NA,0.1025,NA,NA,0.136985185,31.2875,NA,NA,0.1135,NA,NA,NA,NA,NA
Berberis nervosa,NA,NA,NA,0.6096,NA,NA,17.90885822,NA,NA,0.4064,NA,NA,NA,NA,NA,NA
Betula pendula,1181.105556,499.75,24.7363717,20.42708333,NA,9.9,0.291500861,18.17513615,0.1841338,0.6096,0.349800671,NA,NA,0.75,NA,NA
Blepharipappus scaber,NA,NA,NA,NA,NA,NA,1.03,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boerhavia diffusa,NA,NA,NA,NA,NA,NA,2.327,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boerhavia spicata,NA,NA,NA,NA,NA,NA,1.37,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bothriochloa laguroides,NA,NA,NA,NA,NA,NA,0.56,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bouteloua aristidoides,NA,NA,15.9,NA,NA,NA,0.895,12.89,NA,NA,NA,NA,NA,NA,NA,NA
Bouteloua curtipendula,NA,NA,15,0.682104762,NA,NA,1.754335036,18.17607803,NA,0.3048,0.525176059,NA,NA,NA,NA,NA
Bouteloua gracilis,NA,NA,13.23705157,0.3048,NA,NA,0.483068356,19.7,0.053,0.4064,NA,NA,NA,NA,NA,NA
Brachypodium distachyon,NA,NA,NA,0.1005,NA,NA,3.264391892,30.85889908,0.21368,NA,NA,NA,NA,NA,NA,NA
Brachypodium pinnatum,1898,458.9566667,18.10766667,0.540866667,NA,NA,2.925156667,23.9927357,0.131,NA,0.362333333,NA,NA,NA,NA,NA
Brachypodium retusum,NA,NA,7.1,0.4,NA,NA,3.1587,12.40924826,0.4,NA,NA,NA,NA,NA,NA,NA
Briza maxima,NA,NA,10.2,0.6096,NA,NA,3.341682971,68.9,NA,0.254,NA,NA,NA,NA,NA,NA
Briza media,644,471.8566667,19.10016667,0.41946,NA,NA,0.363485185,20.92775774,0.14667,NA,0.294116667,NA,NA,NA,NA,NA
Briza minor,NA,NA,NA,NA,NA,NA,0.3085,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bromus catharticus,NA,NA,NA,0.9572,NA,NA,9.006024135,35,NA,0.3048,NA,NA,NA,NA,NA,NA
Bromus diandrus,NA,NA,NA,NA,NA,NA,11.21666667,39,NA,NA,0.289,NA,NA,NA,NA,NA
Bromus erectus,595.375,421,18.81892435,0.717333333,NA,NA,3.820615152,21.09580137,NA,NA,0.312719258,NA,NA,NA,NA,NA
Bromus hordeaceus,250.75,421.1,25.57289667,0.6899,398.7,10.2,2.302186894,27.25455017,0.166,0.254,0.289967778,0.2,NA,NA,NA,NA
Bromus inermis,1924.291667,450.6212311,21.49936399,0.76518,NA,NA,2.963723205,17.7899321,NA,0.3048,0.380989092,NA,NA,NA,NA,NA
Bromus japonicus,396.8,NA,NA,0.424044444,NA,NA,2.18925,19.31803729,0.2375,NA,0.287296667,NA,NA,NA,NA,NA
Bromus rubens,NA,NA,NA,0.39624,NA,NA,2.347431522,NA,NA,0.2032,NA,NA,NA,NA,NA,NA
Bromus setifolius,NA,NA,NA,NA,NA,NA,6.955833333,NA,0.271666667,NA,NA,NA,NA,NA,NA,NA
Bromus sterilis,467.3333333,NA,27.9,0.658333333,NA,NA,7.269666667,30.5349098,0.148666667,NA,0.23075,NA,NA,NA,NA,NA
Bromus tectorum,492.4930367,NA,NA,0.53975,NA,NA,2.667925682,25.60655894,0.162,NA,0.152666667,NA,NA,NA,NA,NA
Buglossoides arvensis,NA,NA,NA,0.2183,NA,NA,5.867777778,17.93814433,0.1786,NA,NA,NA,NA,NA,NA,NA
Caladenia carnea,158.80898,NA,NA,0.135,NA,NA,NA,20.36104461,NA,NA,NA,NA,NA,NA,NA,NA
Calamovilfa longifolia,933.7365625,462.51125,13.59,1.3716,NA,NA,1.36645721,10.96892152,NA,0.508,NA,NA,NA,NA,NA,NA
Calluna vulgaris,0.9735,527.1727778,13.57486595,0.555785714,NA,4.11401,0.031883333,14.28693018,0.326296296,NA,0.34648674,NA,NA,NA,NA,NA
Calotis hispidula,61.00506333,NA,NA,0.103333333,NA,NA,2.290166667,11.56636819,NA,NA,NA,NA,NA,NA,NA,NA
Calotis lappulacea,67,NA,NA,0.5,NA,NA,NA,15.76,NA,NA,NA,NA,NA,NA,NA,NA
Calytrix tetragona,NA,NA,9.5,NA,NA,NA,1.65,NA,NA,NA,NA,NA,NA,NA,NA,NA
Camassia quamash,NA,NA,NA,0.70104,NA,NA,4.15782155,NA,NA,0.254,NA,NA,NA,NA,NA,NA
Camissonia palmeri,NA,NA,NA,NA,NA,NA,0.15675,NA,NA,NA,NA,NA,NA,NA,NA,NA
Campanula patula,NA,NA,NA,0.4375,NA,NA,0.023595,33.98333333,NA,NA,NA,NA,NA,NA,NA,NA
Campanula rotundifolia,73.39830818,NA,21.08333333,0.34,NA,NA,0.062491111,22.94812699,0.176,NA,0.274815946,NA,NA,NA,NA,NA
Cardionema ramosissimum,NA,NA,NA,NA,NA,NA,0.79425,9.801,0.35,NA,NA,NA,NA,NA,NA,NA
Carduus pycnocephalus,NA,NA,8.2,NA,NA,NA,4.4605,38,NA,NA,NA,NA,NA,NA,NA,NA
Carex andina,NA,NA,NA,NA,NA,NA,NA,NA,0.515,NA,NA,NA,NA,NA,NA,NA
Carex arenaria,782.81,NA,19.12604168,0.384259259,NA,NA,0.942133333,14.42164292,NA,NA,0.346,NA,NA,NA,NA,NA
Carex binervis,NA,NA,NA,1,NA,NA,1.509085714,10.6,NA,NA,NA,NA,NA,NA,NA,NA
Carex breviculmis,48.29506,NA,NA,0.05,NA,NA,NA,14.60009466,NA,NA,NA,NA,NA,NA,NA,NA
Carex brevior,NA,NA,NA,0.254,NA,NA,0.89,21.15675902,NA,NA,0.336249527,NA,NA,NA,NA,NA
Carex caryophyllea,387.5,NA,18,0.223333333,NA,NA,1.16024,18.76023077,NA,NA,0.31,NA,NA,NA,NA,NA
Carex curvula,NA,NA,NA,NA,NA,NA,2.08,9.999104145,NA,NA,NA,NA,NA,NA,NA,NA
Carex echinata,218,NA,NA,0.33305,NA,NA,1.128695833,15.53,NA,0.2032,0.369441578,NA,NA,NA,NA,NA
Carex filifolia,NA,NA,NA,0.33528,NA,NA,2.9,NA,0.2,0.254,NA,NA,NA,NA,NA,NA
Carex flacca,604.82,NA,17.07498081,0.37125,NA,NA,0.907915278,14.4018786,NA,NA,0.33475,NA,NA,NA,NA,NA
Carex liparocarpos,NA,432.6633333,20.95166667,NA,NA,NA,3.257,25.83979328,NA,NA,NA,NA,NA,NA,NA,NA
Carex meadii,NA,NA,NA,0.2292,NA,NA,3.0375,12.74334258,NA,NA,0.443826127,NA,NA,NA,NA,NA
Carex nigra,159.1766667,461.6261691,24.40009307,0.388666667,NA,NA,0.746409524,20.83559904,0.1935,NA,0.338250914,NA,NA,NA,NA,NA
Carex panicea,611,NA,16.1715862,0.31,NA,NA,2.369626667,17.69830765,NA,NA,0.389868,NA,NA,NA,NA,NA
Carex phalaroides,NA,NA,NA,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carex pilulifera,510.825,NA,27.98325592,0.225625,NA,NA,1.042183297,19.13235729,NA,NA,0.318184,NA,NA,NA,NA,NA
Carlina vulgaris,665.2333333,NA,15.78260486,0.385,NA,NA,1.423285714,22.08870347,NA,NA,0.097973333,NA,NA,NA,NA,NA
Celmisia costiniana,NA,NA,NA,NA,NA,NA,2.977,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cenchrus ciliaris,NA,NA,18.5,0.9144,NA,NA,1.262496311,NA,NA,0.508,NA,NA,NA,NA,NA,NA
Centaurea jacea,NA,435.6,25.06160617,0.8275,NA,11.34202,1.478422222,21.9478316,NA,NA,0.219053333,NA,NA,NA,NA,NA
Centaurea melitensis,167,NA,NA,1,NA,NA,1.407,9.4,NA,NA,NA,NA,NA,NA,NA,NA
Centaurea scabiosa,4352,NA,22.3,0.9625,NA,NA,6.543224242,16.2315625,NA,NA,0.197,NA,NA,NA,NA,NA
Centipeda cunninghamii,13,NA,NA,0.2,NA,NA,0.0416,18.1,NA,NA,NA,NA,NA,NA,NA,NA
Centrolepis aristata,NA,NA,NA,NA,NA,NA,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA
Centrolepis polygyna,NA,NA,NA,NA,NA,NA,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA
Centrolepis strigosa,NA,NA,NA,NA,NA,NA,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cephalipterum drummondii,NA,NA,NA,NA,NA,NA,7.22,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cerastium arvense,NA,NA,NA,0.188888889,NA,NA,0.206783333,21.10181624,NA,NA,0.24209686,NA,NA,NA,NA,NA
Cerastium fontanum,182.59075,437.38,24.9755,0.218333333,NA,NA,0.138767778,25.83139407,0.225,NA,0.13025,NA,NA,NA,NA,NA
Cerastium glomeratum,176.6666667,NA,NA,0.249,NA,NA,0.049536,23.38503171,0.226,NA,0.159498889,NA,NA,NA,NA,NA
Chaenactis fremontii,NA,NA,11,NA,NA,3.35,1.0225,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chaenactis stevioides,NA,NA,NA,NA,NA,NA,0.432,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chaerophyllum eriopodum,NA,NA,NA,NA,NA,NA,2.275,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chamaecrista fasciculata,NA,NA,NA,0.73152,NA,NA,7.835149263,NA,NA,0.3556,NA,NA,NA,NA,NA,NA
Chamaecrista nictitans,NA,NA,NA,NA,NA,NA,3.15,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chamaecrista ramosa,NA,NA,NA,NA,NA,NA,14.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chamaescilla corymbosa,NA,NA,NA,NA,NA,NA,0.81,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chenopodium album,2390,NA,27.125,1.174877193,NA,NA,0.690957143,22.66936863,0.29575,NA,0.177290291,NA,NA,NA,NA,NA
Chenopodium quinoa,NA,NA,NA,NA,NA,NA,1.966666667,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chlorogalum pomeridianum,NA,NA,NA,NA,NA,NA,9.28325,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chrysocephalum apiculatum,82.54415,NA,27.1,0.4,NA,NA,0.059416667,16.64122201,NA,NA,NA,NA,NA,NA,NA,NA
Chrysopsis mariana,NA,NA,NA,NA,NA,NA,0.74,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chrysothamnus viscidiflorus,NA,NA,NA,0.9144,NA,NA,0.802723619,NA,NA,0.3556,NA,NA,NA,NA,NA,NA
Chylismia claviformis,NA,NA,NA,NA,NA,NA,0.132,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cirsium arvense,3857.5,409.9085686,29.75611991,0.84284049,NA,NA,1.417251496,16.60803212,0.460375,NA,0.151845444,NA,NA,NA,NA,NA
Cirsium vulgare,7619.4625,NA,NA,1.175,NA,NA,2.684122222,14.23064781,0.492222222,NA,0.146659167,NA,NA,NA,NA,NA
Cistus albidus,NA,NA,13.70833333,1,NA,NA,1.055,15.54983587,NA,NA,0.37032,NA,NA,NA,NA,NA
Cistus clusii,NA,NA,17.575,1,NA,NA,21.41,15.66073822,NA,NA,NA,NA,NA,NA,NA,NA
Claytonia perfoliata,385.5055333,NA,NA,0.222866667,NA,NA,0.6726489,52.4560081,NA,0.1524,0.060336111,NA,NA,NA,NA,NA
Clinopodium vulgare,1055,NA,18.3077,0.399433333,NA,9.27871,0.364353333,26.99161677,0.1207,NA,0.258,NA,NA,NA,NA,NA
Collinsia parviflora,NA,NA,NA,0.3048,NA,NA,1.555665286,NA,NA,0.1524,NA,NA,NA,NA,NA,NA
Collomia grandiflora,NA,NA,NA,0.4,NA,NA,3.320333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
Comandra umbellata,111.4893294,424.0089333,21.0594,NA,NA,NA,89.122,18.08533756,NA,NA,NA,NA,NA,NA,NA,NA
Convolvulus arvensis,1032.9,NA,NA,0.667433333,NA,NA,13.36784667,22.15968458,0.218,NA,0.1725,NA,NA,NA,NA,NA
Conyza canadensis,660,NA,27.9,0.836805556,NA,NA,0.169654586,21.34368455,NA,0.1524,0.209242853,NA,NA,NA,NA,NA
Cordobia argentea,NA,NA,NA,NA,NA,NA,NA,5.52599535,0.307293333,NA,NA,NA,NA,NA,NA,NA
Coreopsis palmata,315.5671376,457.0478333,12.06502778,0.4485,NA,NA,1.989,18.06209157,NA,NA,0.317151372,NA,NA,NA,NA,NA
Cornus suecica,293.1291667,460.8104651,19.69489943,0.171111111,NA,NA,3.42,32.24866466,0.1685,NA,0.21195511,NA,NA,NA,465.550429,7.812801366
Crassula connata,NA,NA,NA,NA,NA,NA,0.014,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crepis biennis,6087.5,NA,NA,0.8875,NA,NA,1.3464,31.23333333,NA,NA,0.1325,NA,NA,NA,NA,NA
Crepis capillaris,1585.666667,NA,NA,0.458333333,NA,NA,0.221595083,35.00023666,0.196,NA,0.125666667,NA,NA,NA,NA,NA
Crepis foetida,NA,439,17.2,0.27525,NA,NA,0.788652,20.14985816,0.19666,NA,0.162,NA,NA,NA,NA,NA
Crepis tectorum,NA,NA,14.21254536,0.375675,NA,NA,NA,22.33002853,NA,NA,0.15499587,NA,NA,NA,NA,NA
Crotalaria microcarpa,NA,NA,NA,NA,NA,NA,0.39,NA,NA,NA,NA,NA,NA,NA,NA,NA
Croton glandulosus,NA,NA,NA,NA,NA,NA,8.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Croton monanthogynus,NA,NA,NA,NA,NA,NA,5.71,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cruciata glabra,NA,467.78,17.002,0.194,NA,NA,1.43,21.52069774,NA,NA,NA,NA,NA,NA,NA,NA
Cryptantha intermedia,NA,NA,NA,NA,NA,NA,0.34025,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cryptantha pterocarya,NA,NA,NA,NA,NA,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cucumis myriocarpus,NA,NA,NA,NA,NA,NA,6.92,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cuscuta planiflora,NA,NA,NA,NA,NA,NA,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cymbopogon caesius,NA,NA,NA,NA,NA,NA,1.74,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cymopterus glomeratus,NA,NA,NA,NA,NA,NA,3.02,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cynodon dactylon,119.9833333,NA,28.57367,0.235788519,NA,NA,0.205003118,25.22232,0.193083334,0.3556,0.224598333,NA,NA,NA,NA,NA
Cynosurus cristatus,353.156,NA,NA,0.588,NA,NA,0.527373148,25.76472222,NA,NA,0.250105714,NA,NA,NA,NA,NA
Cynosurus echinatus,NA,NA,NA,0.475,NA,NA,1.490333333,75.9,NA,NA,NA,NA,NA,NA,NA,NA
