AccSpeciesName,Leaf area,Leaf carbon (C) content per leaf dry mass,Leaf nitrogen (N) content per leaf dry mass,Plant height vegetative.cm,Root carbon (C) content per root dry mass,Root nitrogen (N) content per root dry mass,Seed dry mass,Specific leaf area,Leaf thickness,Root rooting depth,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",Root diameter,"Fine root length per fine root dry mass (specific fine root length, SRL)",Coarse root nitrogen (N) content per coarse root dry mass,Fine root carbon (C) content per fine root dry mass,Fine root nitrogen (N) content per fine root dry mass
Acacia tetragonophylla,17.71693333,443.2248201,39.75775398,3.333333333,366.82,34.39,14.05177778,6.689844518,NA,NA,NA,NA,NA,NA,NA,NA
Acaena echinata,NA,NA,NA,NA,NA,NA,8.2905,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acaena pinnatifida,NA,NA,NA,NA,NA,NA,8.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acamptopappus shockleyi,NA,NA,24.8,NA,NA,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acer macrophyllum,14953,NA,26.4,20.17066667,NA,NA,118.554238,29.548,0.1319,0.6096,NA,NA,NA,NA,NA,NA
Acer platanoides,7530.930667,NA,20.09269841,24.86933333,NA,NA,120.6161196,23.73468194,0.127023238,1.016,0.325994623,NA,NA,NA,NA,NA
Acer saccharum,NA,NA,18.14984431,25.751,NA,5.2,58.9183477,29.94474253,0.126605,0.8128,0.375488337,NA,NA,NA,NA,NA
Achillea millefolium,1006.5,428.1501336,23.95541537,0.423259428,382.6042417,21.37548076,0.165170971,17.65160206,0.2751,0.2032,0.241440695,NA,NA,NA,NA,NA
Acmispon americanus,NA,NA,NA,NA,NA,NA,4.864547619,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acmispon maritimus,NA,NA,NA,NA,NA,NA,1.805375,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acmispon parviflorus,NA,NA,NA,NA,NA,NA,2.29,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acmispon strigosus,NA,NA,NA,NA,NA,NA,1.452333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acourtia nana,NA,NA,18.76667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agastache foeniculum,NA,NA,14.7,NA,NA,NA,0.265,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agoseris glauca,NA,NA,NA,0.3048,NA,NA,1.135582471,NA,NA,0.1524,NA,NA,NA,NA,NA,NA
Agrimonia eupatoria,8461,425,14.6,0.771111111,NA,NA,18.92263571,15.529,NA,NA,0.31825,NA,NA,NA,NA,NA
Agrostis canina,46.735,425.65,20.86288625,0.4223,435.75,9.3,0.05732,33.1583154,0.101333333,0.254,0.284018,0.15,NA,NA,NA,NA
Agrostis capillaris,192.947,434.0801587,27.65006595,0.393022873,416.2357143,8.907142857,0.070611111,29.44748071,0.120492064,0.3048,0.260963078,0.128571429,NA,NA,NA,NA
Agrostis montevidensis,NA,NA,NA,0.229358974,NA,NA,NA,NA,0.156896552,NA,NA,NA,NA,NA,NA,NA
Agrostis rupestris,NA,NA,NA,0.035,NA,NA,NA,15.5,NA,NA,NA,NA,NA,NA,NA,NA
Agrostis scabra,NA,NA,8.00326776,6.263666667,NA,NA,0.0647,9.409573332,NA,0.3048,0.4954,NA,NA,NA,NA,NA
Agrostis stolonifera,253.3799833,408.7144974,31.5111841,0.414942857,415.1,6.2,0.051948333,31.65060428,0.138666667,0.3048,0.299178871,0.1,13295.27111,NA,NA,NA
Aira caryophyllea,14.2,NA,NA,0.155,NA,NA,0.133642857,21.08,NA,NA,0.279666667,NA,NA,NA,NA,NA
Aira elegantissima,NA,NA,NA,NA,NA,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA
Allionia incarnata,NA,NA,NA,NA,NA,NA,2.797,21.88917424,0.648955,NA,NA,NA,NA,NA,NA,NA
Allium acuminatum,NA,NA,NA,0.3048,NA,NA,2.042618482,NA,NA,0.1524,NA,NA,NA,NA,NA,NA
Allium cernuum,NA,NA,NA,NA,NA,NA,3.85,NA,NA,NA,NA,NA,NA,NA,NA,NA
Allium neapolitanum,NA,NA,NA,NA,NA,NA,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alopecurus pratensis,879.4416667,441.680697,23.8325776,0.806266667,NA,NA,0.84590026,27.30021588,NA,0.3048,0.324488889,NA,6768.443055,NA,NA,NA
Alyssum desertorum,NA,NA,NA,0.1,NA,NA,0.465,27.17578947,0.1,NA,NA,NA,NA,NA,NA,NA
