Taxon,site_code,site_name,Family,local_lifeform,local_lifespan,functional_group
ABUTILON HALOPHILUM,milparinka.au,Milparinka,Malvaceae,SUBSHRUB,PERENNIAL,WOODY
ABUTILON HALOPHILUM,quilpie.au,Quilpie,Malvaceae,SUBSHRUB,PERENNIAL,WOODY
ABUTILON MICROPHYLLA,ethadb.au,Ethabuka_DNB,Malvaceae,SHRUB,PERENNIAL,WOODY
ACACIA CAVEN,lcsouth.cl,La Campana South Facing,Fabaceae,TREE,PERENNIAL,LEGUME
ACACIA GREGGII,gmmolar.us,Gmdrc Molar Junction,Fabaceae,TREE,PERENNIAL,LEGUME
ACACIA TETRAGONOPHYLLA,brokenh.au,Broken Hill,Fabaceae,SHRUB,PERENNIAL,LEGUME
ACAENA ECHINATA,jilpanger.au,Jilpanger,Rosaceae,FORB,PERENNIAL,FORB
ACAENA PINNATIFIDA,paike.ar,Potrok Aike Drt,Rosaceae,FORB,PERENNIAL,FORB
ACAENA POEPPIGIANA,paike.ar,Potrok Aike Drt,Rosaceae,FORB,PERENNIAL,FORB
ACALYPHA ANGUSTATA,ukulingadrt.za,Ukulinga Drought,Euphorbiaceae,FORB,PERENNIAL,FORB
ACALYPHA ARVENSIS,bivensarm.us,Bivens Arm,Euphorbiaceae,FORB,ANNUAL,FORB
ACAMPTOPAPPUS SHOCKLEYI,nnss.us,NNSS_Mojave,Compositae,SHRUB,PERENNIAL,WOODY
ACANTHOLIPPIA SERIPHIOIDES,morient.ar,Monte Oriental,Verbenaceae,SHRUB,PERENNIAL,WOODY
ACER MACROPHYLLUM,cowidrt.ca,Cowichan Drt,Sapindaceae,TREE,PERENNIAL,WOODY
ACER PLATANOIDES,baddrt.de,Bad Drought,Sapindaceae,WOODY,PERENNIAL,WOODY
ACER PSEUDOPLATANUS,baddrt.de,Bad Drought,Sapindaceae,WOODY,PERENNIAL,WOODY
ACER RUBRUM,bivensarm.us,Bivens Arm,Sapindaceae,TREE,PERENNIAL,WOODY
ACER SACCHARUM,indiana.us,Indiana University RTP,Sapindaceae,TREE,PERENNIAL,WOODY
ACHILLEA MILLEFOLIUM,allmendb.ch,Allmend Brachy,Compositae,FORB,PERENNIAL,FORB
