,Taxon,X,site_code,n_treat_years,sum.ctrl.cover,mean.ctrl.cover,sum.drt.cover,mean.drt.cover,sum.cover.response,mean.cover.response,leafN.mg.g,height.m,rootN.mg.g,SLA_m2.kg,root.depth_m,RTD.g.cm3,SRL_m.g,rootDiam.mm,local_lifeform,local_lifespan,functional_group,site.id
744,SONCHUS OLERACEUS,529,baddrt.de,1,1.31,0.3275,0.1,0.1,-1.21,-0.2275,34.9,1.1328125,NA,39.67950467,0.755,NA,76.97,0.1,FORB,ANNUAL,FORB,5
499,LOLIUM PERENNE,3279,jenadrt.de,1,110,36.66666667,142,47.33333333,32,10.66666667,19.23,0.429,9.7,18.31,0.254,0.104845371,220.8471095,0.1,GRASS,PERENNIAL,GRASS,38
500,LOLIUM PERENNE,5879,scruzl.us,1,25.0753466,8.358448867,6.038961,3.0194805,-19.0363856,-5.338968367,19.23,0.429,9.7,18.31,0.254,0.104845371,220.8471095,0.1,GRASS,ANNUAL,GRASS,70
501,LOLIUM PERENNE,6317,validate.fr,1,79,15.8,35.1,7.02,-43.9,-8.78,19.23,0.429,9.7,18.31,0.254,0.104845371,220.8471095,0.1,GRASS,PERENNIAL,GRASS,79
502,LOLIUM PERENNE,5954,scruzm.us,1,7.2916666,3.6458333,1.8181818,1.8181818,-5.4734848,-1.8276515,19.23,0.429,9.7,18.31,0.254,0.104845371,220.8471095,0.1,GRASS,ANNUAL,GRASS,71
503,LOLIUM PERENNE,495,baddrt.de,1,0,0,0.05,0.05,0.05,0.05,19.23,0.429,9.7,18.31,0.254,0.104845371,220.8471095,0.1,GRASS,PERENNIAL,GRASS,5
29,AGROSTIS STOLONIFERA,2535,elvadrt.ee,1,1,1,2,1,1,0,31.5111841,0.414942857,6.2,31.65060428,0.3048,0.212659866,353.7043306,0.1,GRASS,PERENNIAL,GRASS,27
55,ANTHOXANTHUM ODORATUM,2105,cowidrt.ca,1,10,3.333333333,17,3.4,7,0.066666667,23.59023243,0.383753535,8.005555556,24.91123988,0.155,0.107066623,344.3025853,0.111111111,GRASS,PERENNIAL,GRASS,23
56,ANTHOXANTHUM ODORATUM,6179,teshio.jp,1,100,16.66666667,87,14.5,-13,-2.166666667,23.59023243,0.383753535,8.005555556,24.91123988,0.155,0.107066623,344.3025853,0.111111111,GRASS,PERENNIAL,GRASS,77
57,ANTHOXANTHUM ODORATUM,2540,elvadrt.ee,1,4,1.333333333,3,1.5,-1,0.166666667,23.59023243,0.383753535,8.005555556,24.91123988,0.155,0.107066623,344.3025853,0.111111111,GRASS,PERENNIAL,GRASS,27
360,FRAGARIA VESCA,5359,pineta.es,1,11,5.5,37,9.25,26,3.75,16.48863464,0.136111111,NA,24.4032544,0.267,0.351086957,312.2441806,0.1112,FORB,PERENNIAL,FORB,63
361,FRAGARIA VESCA,2600,elvadrt.ee,1,42,14,37,12.33333333,-5,-1.666666667,16.48863464,0.136111111,NA,24.4032544,0.267,0.351086957,312.2441806,0.1112,FORB,PERENNIAL,FORB,27
383,GERANIUM MOLLE,2172,cowidrt.ca,1,15,3,14,3.5,-1,0.5,26.45,0.296666667,NA,23.20870159,0.53,0.329104478,289.9024475,0.112466667,FORB,THREE,FORB,23
602,POA ANGUSTIFOLIA,2655,elvadrt.ee,1,3,1,3,1.5,0,0.5,12.95,0.48,5.764,20.11666667,NA,0.316453559,NA,0.113446154,GRASS,PERENNIAL,GRASS,27
433,HOLCUS LANATUS,5557,rhijn.nl,1,42,8.4,20,6.666666667,-22,-1.733333333,24.56210683,0.554013615,9.716666667,33.50183772,0.1016,0.210999112,311.996707,0.116666667,GRASS,PERENNIAL,GRASS,66
434,HOLCUS LANATUS,5759,scruzh.us,1,27.5797374,13.7898687,29.0563866,14.5281933,1.4766492,0.7383246,24.56210683,0.554013615,9.716666667,33.50183772,0.1016,0.210999112,311.996707,0.116666667,GRASS,PERENNIAL,GRASS,69
354,FESTUCA RUBRA,2594,elvadrt.ee,1,9,3,9,3,0,0,19.05492673,0.452958333,7.08,20.02617821,0.3048,0.233235525,348.147287,0.12,GRASS,PERENNIAL,GRASS,27
355,FESTUCA RUBRA,615,bayrdrt.de,1,185,37,70,14,-115,-23,19.05492673,0.452958333,7.08,20.02617821,0.3048,0.233235525,348.147287,0.12,GRASS,PERENNIAL,GRASS,6
356,FESTUCA RUBRA,5357,pineta.es,1,19.5,4.875,24,8,4.5,3.125,19.05492673,0.452958333,7.08,20.02617821,0.3048,0.233235525,348.147287,0.12,GRASS,PERENNIAL,GRASS,63
357,FESTUCA RUBRA,5547,rhijn.nl,1,200,40,50,25,-150,-15,19.05492673,0.452958333,7.08,20.02617821,0.3048,0.233235525,348.147287,0.12,GRASS,PERENNIAL,GRASS,66
384,GERANIUM PUSILLUM,3257,jenadrt.de,1,60,20,37,12.33333333,-23,-7.666666667,17.47,0.2,NA,26.42,0.59,0.417391304,192.0238007,0.1212,FORB,BOTH,FORB,38
380,GERANIUM DISSECTUM,5949,scruzm.us,1,10.7321117,3.577370567,5.8522727,2.92613635,-4.879839,-0.651234217,19.13,0.151,NA,17.86,0.5,0.382010582,207.6012196,0.122766667,FORB,ANNUAL,FORB,71
381,GERANIUM DISSECTUM,3251,jenadrt.de,1,28,9.333333333,6,2,-22,-7.333333333,19.13,0.151,NA,17.86,0.5,0.382010582,207.6012196,0.122766667,FORB,ANNUAL,FORB,38
382,GERANIUM DISSECTUM,5862,scruzl.us,1,104.7801431,20.95602862,11.3977867,3.799262233,-93.3823564,-17.15676639,19.13,0.151,NA,17.86,0.5,0.382010582,207.6012196,0.122766667,FORB,ANNUAL,FORB,70
376,GALIUM VERUM,213,allmendo.ch,1,5.25,1.75,1.75,0.875,-3.5,-0.875,21.6094737,0.516038889,11.75956766,17.72121934,0.7266667,0.140178711,402.3842917,0.122981034,FORB,PERENNIAL,FORB,2
824,VACCINIUM ULIGINOSUM,4185,lygraint.no,1,2,2,1,1,-1,-1,19.4998079,0.470266667,4.2,13.90672208,0.2274,0.1278406,162.5,0.124,SUBSHRUB,PERENNIAL,WOODY,48
825,VACCINIUM ULIGINOSUM,4286,lygraold.no,1,1,1,7,3.5,6,2.5,19.4998079,0.470266667,4.2,13.90672208,0.2274,0.1278406,162.5,0.124,SUBSHRUB,PERENNIAL,WOODY,49
327,ERODIUM CICUTARIUM,2934,gmgranite.us,1,15,2.142857143,47,6.714285714,32,4.571428571,34.47666667,0.0275,11.48,28.8428,0.5,0.43626943,71.7331,0.1243,FORB,ANNUAL,FORB,32
328,ERODIUM CICUTARIUM,2970,gmmolar.us,1,13.5,1.928571429,27.5,3.928571429,14,2,34.47666667,0.0275,11.48,28.8428,0.5,0.43626943,71.7331,0.1243,FORB,ANNUAL,FORB,33
329,ERODIUM CICUTARIUM,6089,spvdrt.ar,1,6,2,2,1,-4,-1,34.47666667,0.0275,11.48,28.8428,0.5,0.43626943,71.7331,0.1243,FORB,ANNUAL,FORB,76
23,AGROSTIS CAPILLARIS,5342,pineta.es,1,282,47,223,37.16666667,-59,-9.833333333,27.65006595,0.393022873,8.907142857,29.44748071,0.3048,0.230872486,141.2639378,0.128571429,GRASS,PERENNIAL,GRASS,63
24,AGROSTIS CAPILLARIS,4088,lygraint.no,1,1,1,3,1,2,0,27.65006595,0.393022873,8.907142857,29.44748071,0.3048,0.230872486,141.2639378,0.128571429,GRASS,PERENNIAL,GRASS,48
