,site_code,Taxon,n_treat_years,sum.ctrl.cover,mean.ctrl.cover,sum.drt.cover,mean.drt.cover,sum.cover.response,mean.cover.response
247,allmendo.ch,MEDICAGO LUPULINA,1,0.25,0.25,0,0,-0.25,-0.25
249,allmendo.ch,PIMPINELLA SAXIFRAGA,1,7,2.333333333,6.5,2.166666667,-0.5,-0.166666667
253,allmendo.ch,PLANTAGO LANCEOLATA,1,1.5,0.75,0.75,0.75,-0.75,0
257,allmendo.ch,POLYGALA VULGARIS,1,0.75,0.375,0.5,0.5,-0.25,0.125
259,allmendo.ch,POTENTILLA GRANDIFLORA,1,15.75,5.25,9.75,3.25,-6,-2
263,allmendo.ch,PRUNELLA VULGARIS,1,23.75,7.916666667,12.5,4.166666667,-11.25,-3.75
267,allmendo.ch,RHINANTHUS MINOR,1,3.25,1.083333333,2.5,0.833333333,-0.75,-0.25
271,allmendo.ch,SALVIA PRATENSIS,1,0.5,0.5,7.75,3.875,7.25,3.375
275,allmendo.ch,SANGUISORBA MINOR,1,0,0,0.5,0.5,0.5,0.5
279,allmendo.ch,SCABIOSA COLUMBARIA,1,0.5,0.25,3.25,1.625,2.75,1.375
284,allmendo.ch,TEUCRIUM CHAMAEDRYS,1,11.5,3.833333333,7.75,2.583333333,-3.75,-1.25
288,allmendo.ch,TEUCRIUM MONTANUM,1,7.25,7.25,0,0,-7.25,-7.25
292,allmendo.ch,THYMUS SERPYLLUM,1,4.5,1.5,5.5,1.833333333,1,0.333333333
296,allmendo.ch,TRIFOLIUM MONTANUM,1,2,0.666666667,0.5,0.5,-1.5,-0.166666667
299,antelope.us,BASSIA SCOPARIA,1,0.32,0.045714286,5.63,0.70375,5.31,0.658035714
303,antelope.us,CHONDROSUM ERIOPODUM,1,47.65,5.95625,45.45,5.68125,-2.2,-0.275
310,antelope.us,HILARIA JAMESII,1,33.7,4.2125,15.8,1.975,-17.9,-2.2375
316,antelope.us,MENTZELIA MONTANA,1,0.92,0.131428571,2.21,0.368333333,1.29,0.236904762
320,antelope.us,POMARIA JAMESII,1,1,1,0,0,-1,-1
324,antelope.us,SALSOLA KALI,1,0.25,0.25,2.8,0.933333333,2.55,0.683333333
329,antelope.us,SPHAERALCEA HASTULATA,1,0.05,0.05,2,2,1.95,1.95
333,ayora.es,APHYLLANTHES MONSPELIENSIS,1,0,0,1,1,1,1
336,ayora.es,ARGYROLOBIUM ZANONII,1,2,1,1,1,-1,0
339,ayora.es,ASPERULA ARISTATA,1,1,1,0,0,-1,-1
341,ayora.es,BRACHYPODIUM RETUSUM,1,61,10.16666667,73,24.33333333,12,14.16666667
345,ayora.es,CAREX DISTACHYA,1,15,7.5,5,2.5,-10,-5
348,ayora.es,CISTUS ALBIDUS,1,70,11.66666667,44,14.66666667,-26,3
351,ayora.es,CISTUS CLUSII,1,9,4.5,5,5,-4,0.5
354,ayora.es,CORIS MONSPELIENSIS,1,1,1,0,0,-1,-1
360,ayora.es,DORYCNIUM PENTAPHYLLUM,1,46,9.2,16,8,-30,-1.2
363,ayora.es,FUMANA ERICIFOLIA,1,53,10.6,5,1.666666667,-48,-8.933333333
367,ayora.es,FUMANA LAEVIPES,1,5,2.5,0,0,-5,-2.5
373,ayora.es,FUMARIA CAPREOLATA,1,8,1.6,1,1,-7,-0.6
375,ayora.es,GALIUM LUCIDUM,1,2,1,5,2.5,3,1.5
378,ayora.es,GLADIOLUS ILLYRICUS,1,4,2,0,0,-4,-2
380,ayora.es,HELIANTHEMUM APENNINUM,1,0,0,1,1,1,1
381,ayora.es,HELIANTHEMUM CINEREUM,1,15,2.5,9,3,-6,0.5
384,ayora.es,HELICTOTRICHON FILIFOLIUM,1,17,17,7,7,-10,-10
390,ayora.es,LINUM SUFFRUTICOSUM,1,15,7.5,3,3,-12,-4.5
393,ayora.es,LITHODORA FRUTICOSA,1,4,2,0,0,-4,-2
396,ayora.es,ONONIS MINUTISSIMA,1,12,2.4,0,0,-12,-2.4
400,ayora.es,PINUS HALEPENSIS,1,1,1,0,0,-1,-1
402,ayora.es,POLYGALA RUPESTRIS,1,2,1,1,1,-1,0
406,ayora.es,ROSMARINUS OFFICINALIS,1,411,68.5,241,80.33333333,-170,11.83333333
409,ayora.es,RUBIA PEREGRINA,1,1,1,0,0,-1,-1
414,ayora.es,STIPA JUNCEA,1,34,6.8,1,1,-33,-5.8
416,ayora.es,TEUCRIUM CAPITATUM,1,5,1.666666667,0,0,-5,-1.666666667
420,ayora.es,THESIUM HUMIFUSUM,1,6,2,4,2,-2,0
424,ayora.es,THYMUS VULGARIS,1,10,10,0,0,-10,-10
427,ayora.es,ULEX PARVIFLORUS,1,249,41.5,80,26.66666667,-169,-14.83333333
430,baddrt.de,ACER PLATANOIDES,1,2,2,0,0,-2,-2
434,baddrt.de,APERA SPICA-VENTI,1,38.1,4.7625,28.1,9.366666667,-10,4.604166667
440,baddrt.de,BROMUS HORDEACEUS,1,1.1,0.55,0.02,0.01,-1.08,-0.54
444,baddrt.de,BROMUS STERILIS,1,0.41,0.1025,5,5,4.59,4.8975
453,baddrt.de,CIRSIUM ARVENSE,1,29.5,3.277777778,16.5,3.3,-13,0.022222222
458,baddrt.de,CREPIS BIENNIS,1,34,4.857142857,26,6.5,-8,1.642857143
462,baddrt.de,CREPIS CAPILLARIS,1,9.7,1.616666667,18,9,8.3,7.383333333
468,baddrt.de,ECHINOPS SPHAEROCEPHALUS,1,0,0,0.2,0.2,0.2,0.2
469,baddrt.de,EPILOBIUM ANGUSTIFOLIUM,1,0,0,2.1,1.05,2.1,1.05
471,baddrt.de,EPILOBIUM TETRAGONUM,1,8.12,0.812,4,0.8,-4.12,-0.012
473,baddrt.de,ERIGERON CANADENSIS,1,1.06,0.353333333,0,0,-1.06,-0.353333333
478,baddrt.de,FESTUCA RUPICOLA,1,0.05,0.05,0,0,-0.05,-0.05
479,baddrt.de,GALIUM APARINE,1,0.42,0.07,0.2,0.1,-0.22,0.03
483,baddrt.de,HYPERICUM PERFORATUM,1,0.2,0.2,0,0,-0.2,-0.2
487,baddrt.de,HYPOCHAERIS RADICATA,1,0.2,0.2,1,1,0.8,0.8
491,baddrt.de,LEUCANTHEMUM VULGARE,1,0.8,0.8,0,0,-0.8,-0.8
495,baddrt.de,LOLIUM PERENNE,1,0,0,0.05,0.05,0.05,0.05
503,baddrt.de,PICRIS HIERACIOIDES,1,630,63,240,48,-390,-15
507,baddrt.de,PLANTAGO LANCEOLATA,1,0.05,0.05,0.3,0.3,0.25,0.25
513,baddrt.de,POA TRIVIALIS,1,4.21,1.403333333,0.01,0.01,-4.2,-1.393333333
518,baddrt.de,PRUNUS AVIUM,1,0.3,0.3,0,0,-0.3,-0.3
519,baddrt.de,RUMEX CRISPUS,1,5,5,0.5,0.5,-4.5,-4.5
523,baddrt.de,SENECIO LEUCANTHEMIFOLIUS,1,0,0,0.01,0.01,0.01,0.01
525,baddrt.de,SOLIDAGO CANADENSIS,1,0.2,0.2,0.3,0.15,0.1,-0.05
528,baddrt.de,SONCHUS ASPER,1,1.05,0.35,3,1,1.95,0.65
529,baddrt.de,SONCHUS OLERACEUS,1,1.31,0.3275,0.1,0.1,-1.21,-0.2275
