,Taxon,site_code,mean.drt.cover.yr1,mean.drt.cover.yr2,diff.drt.trt,leafN.mg.g,height.m,rootN.mg.g,SLA_m2.kg,root.depth_m,RTD.g.cm3,SRL_m.g,rootDiam.mm,local_lifeform,local_lifespan,functional_group,site.id
107,BROMUS HORDEACEUS,baddrt.de,0.01,0.2,0.19,25.57289667,0.6899,10.2,27.25455017,0.254,0.137083333,471.2364007,0.2,GRASS,ANNUAL,GRASS,5
109,BROMUS JAPONICUS,oreaa.us,0.5,0.5,0,20.898,0.424044444,NA,19.31803729,1.5,NA,NA,0.54,GRASS,ANNUAL,GRASS,48
110,BROMUS JAPONICUS,oreac.us,13.1,15.1,2,20.898,0.424044444,NA,19.31803729,1.5,NA,NA,0.54,GRASS,ANNUAL,GRASS,49
111,BROMUS RUBENS,gmgranite.us,0.5,0.1,-0.4,28.7686987,0.39624,NA,18.713372,0.2032,NA,NA,NA,GRASS,ANNUAL,GRASS,28
112,BROMUS RUBENS,capmcd.us,0.5,0.166666667,-0.333333333,28.7686987,0.39624,NA,18.713372,0.2032,NA,NA,NA,GRASS,ANNUAL,GRASS,9
113,BROMUS RUBENS,gmmolar.us,1.428571429,0.114285714,-1.314285715,28.7686987,0.39624,NA,18.713372,0.2032,NA,NA,NA,GRASS,ANNUAL,GRASS,29
115,BROMUS STERILIS,baddrt.de,5,10,5,27.9,0.658333333,NA,30.5349098,1.5,0.4459545,279.231,NA,GRASS,ANNUAL,GRASS,5
116,BROMUS STERILIS,cowidrt.ca,3.333333333,5.333333333,2,27.9,0.658333333,NA,30.5349098,1.5,0.4459545,279.231,NA,GRASS,ANNUAL,GRASS,19
117,BROMUS TECTORUM,nplatte.us,14.14285714,5.333333333,-8.809523807,18.768,0.198681818,7.006735802,17.28496,0.90288,0.47,31.204325,0.57,GRASS,ANNUAL,GRASS,46
118,BROMUS TECTORUM,hard.us,5,4,-1,18.768,0.198681818,7.006735802,17.28496,0.90288,0.47,31.204325,0.57,GRASS,ANNUAL,GRASS,30
124,CALOTIS HISPIDULA,credom.au,0,0.5,0.5,NA,0.103333333,NA,11.56636819,NA,NA,NA,NA,FORB,ANNUAL,FORB,21
131,CARDUUS PYCNOCEPHALUS,scruzm.us,7.11889028,3,-4.11889028,8.2,0.8,NA,38,NA,NA,NA,NA,FORB,ANNUAL,FORB,57
132,CARDUUS PYCNOCEPHALUS,scruzl.us,20.12987015,12,-8.12987015,8.2,0.8,NA,38,NA,NA,NA,NA,FORB,ANNUAL,FORB,56
157,CEPHALIPTERUM DRUMMONDII,credom.au,1,0,-1,NA,0.33086325,NA,37.282501,NA,NA,NA,NA,FORB,ANNUAL,FORB,21
167,CERASTIUM GLOMERATUM,cowidrt.ca,1,1.4,0.4,17.025,0.249,14.7,23.38503171,0.11,0.4988333,318,NA,FORB,ANNUAL,FORB,19
168,CERASTIUM GLOMERATUM,jenadrt.de,0,0.5,0.5,17.025,0.249,14.7,23.38503171,0.11,0.4988333,318,NA,FORB,ANNUAL,FORB,33
169,CHAMAECRISTA FASCICULATA,oklah.us,0.5,0.5,0,39.6,0.73152,NA,20.88,0.3556,0.162591084,96.91819095,0.2980125,FORB,ANNUAL,LEGUME,47
180,COLLINSIA PARVIFLORA,oreac.us,0.6,0.5,-0.1,NA,0.3048,NA,32.3,NA,NA,NA,0.28,FORB,ANNUAL,FORB,49
181,COLLINSIA PARVIFLORA,oreaa.us,0.5,0.5,0,NA,0.3048,NA,32.3,NA,NA,NA,0.28,FORB,ANNUAL,FORB,48
195,CREPIS CAPILLARIS,baddrt.de,9,0.9,-8.1,25.65,0.458333333,10.7,35.00023666,0.385,NA,138,NA,FORB,ANNUAL,FORB,5
196,CREPIS TECTORUM,elvadrt.ee,2,2,0,14.21254536,0.148,NA,22.33002853,NA,NA,119,0.34,FORB,ANNUAL,FORB,23
197,CROTON GLANDULOSUS,bfl.us,0,1,1,17.5,NA,NA,38.2464889,NA,NA,NA,NA,FORB,ANNUAL,FORB,6
198,CROTON MONANTHOGYNUS,oklah.us,1.75,3,1.25,17.5,NA,NA,18.1,NA,NA,NA,NA,FORB,ANNUAL,FORB,47
227,DRABA VERNA,oreaa.us,0.5,0.5,0,20.4,0.42,NA,22.11,1.318005405,0.78395,18.8462,0.52189,FORB,ANNUAL,FORB,48
242,EPILOBIUM BRACHYCARPUM,oreaa.us,0.9,1.1,0.2,30.48666667,0.286,10.95816314,21.56584,NA,NA,81.71053333,NA,FORB,ANNUAL,FORB,48
243,EPILOBIUM BRACHYCARPUM,oreac.us,1.5,0.7,-0.8,30.48666667,0.286,10.95816314,21.56584,NA,NA,81.71053333,NA,FORB,ANNUAL,FORB,49
248,ERAGROSTIS DIELSII,credom.au,0.5,0,-0.5,NA,0.3,NA,5.7,NA,NA,NA,NA,GRASS,ANNUAL,GRASS,21
252,ERIGERON ANNUUS,esw.ca,1,1.333333333,0.333333333,13.87251282,0.790891667,NA,23.37334387,1.02,0.32875817,62.7520477,0.25,FORB,ANNUAL,FORB,24
253,ERIGERON CANADENSIS,baddrt.de,0,0.6,0.6,27.5,0.676,NA,21.20435157,1.09,0.09,119,0.35,FORB,ANNUAL,FORB,5
258,ERODIUM CICUTARIUM,gmmolar.us,3.928571429,0.1,-3.828571429,34.47666667,0.0275,11.48,28.8428,0.5,0.43626943,71.7331,0.1243,FORB,ANNUAL,FORB,29
259,ERODIUM CICUTARIUM,spvdrt.ar,1,1,0,34.47666667,0.0275,11.48,28.8428,0.5,0.43626943,71.7331,0.1243,FORB,ANNUAL,FORB,59
260,ERODIUM CICUTARIUM,gmgranite.us,6.714285714,0.1,-6.614285714,34.47666667,0.0275,11.48,28.8428,0.5,0.43626943,71.7331,0.1243,FORB,ANNUAL,FORB,28
290,GALIUM APARINE,baddrt.de,0.1,0,-0.1,30.3875,0.765787211,17.66740825,34.58771111,0.1016,0.246153846,342.4265529,0.153183334,FORB,ANNUAL,FORB,5
291,GALIUM APARINE,cowidrt.ca,1,1,0,30.3875,0.765787211,17.66740825,34.58771111,0.1016,0.246153846,342.4265529,0.153183334,FORB,ANNUAL,FORB,19
296,GALIUM MOLLUGO,rhijn.nl,25,13.66666667,-11.33333333,29.6653889,0.57825,12.06782427,21.5515698,0.1688729,0.105319476,406.1581499,0.264461111,FORB,ANNUAL,FORB,53
301,GERANIUM DISSECTUM,jenadrt.de,2,3.666666667,1.666666667,19.13,0.151,NA,17.86,0.5,0.382010582,207.6012196,0.122766667,FORB,ANNUAL,FORB,33
302,GERANIUM DISSECTUM,scruzm.us,2.92613635,0,-2.92613635,19.13,0.151,NA,17.86,0.5,0.382010582,207.6012196,0.122766667,FORB,ANNUAL,FORB,57
303,GERANIUM DISSECTUM,scruzl.us,3.799262233,7,3.200737767,19.13,0.151,NA,17.86,0.5,0.382010582,207.6012196,0.122766667,FORB,ANNUAL,FORB,56
317,HEDEOMA HISPIDA,oklah.us,0.5,0,-0.5,NA,0.14225,NA,21.38832049,NA,0.15,166,0.22,FORB,ANNUAL,FORB,47
339,HOLOSTEUM UMBELLATUM,esw.ca,1,0,-1,NA,0.161666667,NA,35.26333333,0.24,NA,NA,NA,FORB,ANNUAL,FORB,24
340,HORDEUM MURINUM,spvdrt.ar,3,2,-1,31.1,0.405416667,NA,28.1259188,0.1,NA,204.9930273,0.217582152,GRASS,ANNUAL,GRASS,59
341,HORDEUM PUSILLUM,marcdrt.ar,1,1,0,NA,0.36576,NA,32.4,0.2032,0.278984039,157.1579379,0.1830875,GRASS,ANNUAL,GRASS,42
374,LINUM BIENNE,scruzh.us,6.29785905,3.5,-2.79785905,27.53,0.375,NA,26.60625,NA,NA,NA,NA,FORB,ANNUAL,FORB,55
375,LINUM CATHARTICUM,allmendb.ch,2.083333333,1.083333333,-1,20.2751018,0.184833333,NA,29.89038332,0.18,0.3081,160,1.190476,FORB,ANNUAL,FORB,1
376,LINUM CATHARTICUM,allmendo.ch,1.666666667,0.25,-1.416666667,20.2751018,0.184833333,NA,29.89038332,0.18,0.3081,160,1.190476,FORB,ANNUAL,FORB,2
377,LINUM CATHARTICUM,elvadrt.ee,1.5,1.5,0,20.2751018,0.184833333,NA,29.89038332,0.18,0.3081,160,1.190476,FORB,ANNUAL,FORB,23
378,LINUM MEDIUM,slp.us,0,6.666666667,6.666666667,NA,0.328,NA,22.57688088,NA,NA,NA,NA,FORB,ANNUAL,FORB,58
381,LINUM SULCATUM,oklah.us,0.5,0.5,0,NA,NA,NA,17.12,NA,NA,NA,NA,FORB,ANNUAL,FORB,47
399,MEDICAGO MINIMA,credom.au,2,0.5,-1.5,36.2,0.1701,NA,24.66638889,0.22,0.0815,211.5066667,0.3834,LEGUME,ANNUAL,LEGUME,21
405,MONARDA PUNCTATA,slp.us,5,3,-2,13.2,0.4265,NA,18.95202815,NA,NA,NA,NA,FORB,ANNUAL,FORB,58
415,PANICUM CAPILLARE,konzadrt.us,1.5,2.666666667,1.166666667,17.0314031,0.43545,NA,27.43942379,0.62,0.14,218,0.1917,GRASS,ANNUAL,GRASS,38
445,PLANTAGO PATAGONICA,spvdrt.ar,1,1.5,0.5,16.75319,0.1524,NA,7.068,0.1524,0.406666667,171.778132,0.173233333,FORB,ANNUAL,FORB,59
446,PLANTAGO PATAGONICA,nplatte.us,2,0,-2,16.75319,0.1524,NA,7.068,0.1524,0.406666667,171.778132,0.173233333,FORB,ANNUAL,FORB,46
447,PLANTAGO PATAGONICA,capwhite.us,1,0.125,-0.875,16.75319,0.1524,NA,7.068,0.1524,0.406666667,171.778132,0.173233333,FORB,ANNUAL,FORB,10
448,PLANTAGO RHODOSPERMA,bfl.us,1,1,0,NA,NA,NA,17.37,NA,NA,NA,NA,FORB,ANNUAL,FORB,6
451,POA BULBOSA,oreac.us,0,3.5,3.5,17.70666667,0.3224,10.49,21.09,0.2032,NA,NA,0.01366667,GRASS,ANNUAL,GRASS,49
492,RAPHANUS SATIVUS,scruzl.us,61.0981501,45.2,-15.8981501,40.5,0.715,14.825,34.60857143,1.566667,NA,NA,NA,FORB,ANNUAL,FORB,56
493,RAPHANUS SATIVUS,scruzm.us,20.57703828,4.5,-16.07703828,40.5,0.715,14.825,34.60857143,1.566667,NA,NA,NA,FORB,ANNUAL,FORB,57
495,RHINANTHUS MINOR,allmendo.ch,0.833333333,0,-0.833333333,34.3558401,0.395833333,NA,18.84206584,0.08,NA,NA,NA,FORB,ANNUAL,FORB,2
496,RHINANTHUS MINOR,allmendb.ch,2,0.5,-1.5,34.3558401,0.395833333,NA,18.84206584,0.08,NA,NA,NA,FORB,ANNUAL,FORB,1
505,RUDBECKIA HIRTA,bfl.us,1.5,1,-0.5,28.33854,0.48345,21.64598,19.67108394,0.254,0.14325585,119.2626432,0.2691575,FORB,ANNUAL,FORB,6
506,RUDBECKIA HIRTA,slp.us,5.5,1.5,-4,28.33854,0.48345,21.64598,19.67108394,0.254,0.14325585,119.2626432,0.2691575,FORB,ANNUAL,FORB,58
511,SALSOLA KALI,antelope.us,0.933333333,0.55,-0.383333333,7.39,NA,NA,10.84692732,1.38,NA,19.34,0.183333333,FORB,ANNUAL,WOODY,3
514,SALVIA VERBENACA,credom.au,0.8,0.5,-0.3,NA,0.508333333,NA,11.94,NA,NA,NA,NA,FORB,ANNUAL,FORB,21
515,SALVIA VERBENACA,credoj.au,0.5,0.5,0,NA,0.508333333,NA,11.94,NA,NA,NA,NA,FORB,ANNUAL,FORB,20
521,SCHISMUS BARBATUS,gmgranite.us,3.714285714,0.1,-3.614285714,NA,0.25,NA,18.21,0.16,NA,81.47,NA,GRASS,ANNUAL,GRASS,28
522,SCHISMUS BARBATUS,spvdrt.ar,1.333333333,1,-0.333333333,NA,0.25,NA,18.21,0.16,NA,81.47,NA,GRASS,ANNUAL,GRASS,59
551,SONCHUS ASPER,scruzl.us,14.54787123,5.5,-9.04787123,27.6,0.5875,NA,24.97389591,0.69,0.301036269,223.2180487,0.1419,FORB,ANNUAL,FORB,56
582,TAGETES MINUTA,ukulingadrt.za,0,13,13,44.5,0.7,10.3,13.875,NA,0.081,44.84,0.3,FORB,ANNUAL,FORB,60
589,THELESPERMA FILIFOLIUM,bfl.us,0,1,1,24.36,0.18804,NA,13.73905805,NA,NA,NA,NA,FORB,ANNUAL,FORB,6
590,THELESPERMA FILIFOLIUM,oklah.us,0,0.5,0.5,24.36,0.18804,NA,13.73905805,NA,NA,NA,NA,FORB,ANNUAL,FORB,47
592,THLASPI ARVENSE,hard.us,3,2,-1,NA,0.423333333,NA,24.42761317,0.49,0.42845,105,0.2761525,FORB,ANNUAL,FORB,30
598,TIDESTROMIA LANUGINOSA,jorndrt.us,0.2,1,0.8,NA,0.3,NA,17.09882973,0.265,NA,4.37819,0.074,FORB,ANNUAL,FORB,34
604,TRIFOLIUM DUBIUM,jenadrt.de,2,0.75,-1.25,35.6,0.076,27.56771735,30.39,0.3445,0.109,254.8747547,0.231187416,LEGUME,ANNUAL,LEGUME,33
624,VALERIANELLA LOCUSTA,cowidrt.ca,2.5,5.25,2.75,26,0.1925,NA,31.7,0.05,0.56326,204,1.242171,FORB,ANNUAL,FORB,19
625,VENTENATA DUBIA,oreac.us,1,5.75,4.75,NA,0.225,NA,20.5,NA,NA,NA,0.28,GRASS,ANNUAL,GRASS,49
626,VENTENATA DUBIA,oreaa.us,8.75,14.5,5.75,NA,0.225,NA,20.5,NA,NA,NA,0.28,GRASS,ANNUAL,GRASS,48
627,VERONICA ARVENSIS,cowidrt.ca,1,1,0,15,0.187777778,NA,21.00097059,0.19,0.7139167,224.167,0.98561,FORB,ANNUAL,FORB,19
628,VERONICA ARVENSIS,jenadrt.de,0.5,0.5,0,15,0.187777778,NA,21.00097059,0.19,0.7139167,224.167,0.98561,FORB,ANNUAL,FORB,33
638,VICIA HIRSUTA,cowidrt.ca,2.25,1.2,-1.05,43.2098,0.4375,28.02801,22.05714286,0.66,0.3375,87.90712843,0.2074,FORB,ANNUAL,LEGUME,19
639,VICIA SATIVA,baddrt.de,0,0.733333333,0.733333333,32.1,0.7509,3.5,26.61714286,0.3048,0.430769231,60.47073255,0.222666667,FORB,ANNUAL,LEGUME,5
640,VICIA SATIVA,cowidrt.ca,1.75,1.75,0,32.1,0.7509,3.5,26.61714286,0.3048,0.430769231,60.47073255,0.222666667,FORB,ANNUAL,LEGUME,19
644,VULPIA BROMOIDES,spvdrt.ar,1,1,0,NA,0.2225,NA,20.86,0.4995,NA,417.75,0.2945,GRASS,ANNUAL,GRASS,59
645,VULPIA MYUROS,scruzh.us,4.135648425,5,0.864351575,17.1507779,0.435733333,7.5,22.38333333,0.3048,0.044,268.91,NA,GRASS,ANNUAL,GRASS,55
646,VULPIA MYUROS,baddrt.de,3.533333333,15.4,11.86666667,17.1507779,0.435733333,7.5,22.38333333,0.3048,0.044,268.91,NA,GRASS,ANNUAL,GRASS,5
647,VULPIA MYUROS,scruzl.us,22.72727275,20.5,-2.22727275,17.1507779,0.435733333,7.5,22.38333333,0.3048,0.044,268.91,NA,GRASS,ANNUAL,GRASS,56
254,ERIGERON STRIGOSUS,konzadrt.us,1,3,2,12.3765,0.566,NA,24.97386549,0.254,NA,NA,NA,FORB,ANNUAL,FORB,38
255,ERIGERON STRIGOSUS,oklah.us,1.75,3,1.25,12.3765,0.566,NA,24.97386549,0.254,NA,NA,NA,FORB,PERENNIAL,FORB,47
176,CIRSIUM VULGARE,scruzl.us,14.6156689,5.5,-9.1156689,38.6,1.175,NA,14.23064781,2.1,0.285613682,131.2433191,0.184,FORB,BIENNIAL,FORB,56
215,DAUCUS CAROTA,elvadrt.ee,1,1,0,23.75644602,0.487097662,12.75277167,17.37707021,0.8266667,0.329231092,244.5257138,0.314314803,FORB,BIENNIAL,FORB,23
216,DAUCUS CAROTA,esw.ca,1,1,0,23.75644602,0.487097662,12.75277167,17.37707021,0.8266667,0.329231092,244.5257138,0.314314803,FORB,BIENNIAL,FORB,24
225,DIPLOTAXIS TENUIFOLIA,naposta.ar,5.333333333,8.333333333,3,NA,0.575,NA,22.45,NA,NA,NA,NA,FORB,BIENNIAL,FORB,45
356,LACTUCA SERRIOLA,naposta.ar,3,1,-2,32,0.9375,NA,21.4302,0.825,0.2572538,193.07,0.61,FORB,BIENNIAL,FORB,45
396,MEDICAGO LUPULINA,allmendb.ch,0.25,0,-0.25,32.94,0.112,26.12778969,21.96,0.3048,0.105696982,180.1564169,0.281707971,FORB,BIENNIAL,LEGUME,1
397,MEDICAGO LUPULINA,jenadrt.de,0.5,0.5,0,32.94,0.112,26.12778969,21.96,0.3048,0.105696982,180.1564169,0.281707971,FORB,BIENNIAL,LEGUME,33
398,MEDICAGO LUPULINA,elvadrt.ee,3,1.666666667,-1.333333333,32.94,0.112,26.12778969,21.96,0.3048,0.105696982,180.1564169,0.281707971,FORB,BIENNIAL,LEGUME,23
599,TRAGOPOGON DUBIUS,mattheis.ca,1,1,0,26.314,0.34175,11.37,18.88481429,0.1524,0.27502617,48.55913333,0.359875,FORB,BIENNIAL,FORB,44
16,AGROSTIS CANINA,lygraold.no,2,1,-1,20.86288625,0.4223,9.3,33.1583154,0.254,NA,NA,0.15,GRASS,PERENNIAL,GRASS,41
17,AGROSTIS CANINA,lygraint.no,1,1,0,20.86288625,0.4223,9.3,33.1583154,0.254,NA,NA,0.15,GRASS,PERENNIAL,GRASS,40
50,ARISTIDA CONTORTA,credom.au,0.5,0,-0.5,10.79897,0.3,NA,9.37,NA,NA,NA,NA,GRASS,BOTH,GRASS,21
76,ASTRANTIA MAJOR,pineta.es,8,5.5,-2.5,28.539,0.4215,NA,22.75909384,NA,NA,NA,NA,FORB,PERENNIAL,FORB,52
100,BROMUS CATHARTICUS,marcdrt.ar,15,1,-14,NA,0.9572,4.9,35,0.3048,0.079079135,129.3385704,0.30525,GRASS,BOTH,GRASS,42
101,BROMUS CATHARTICUS,naposta.ar,0,6.666666667,6.666666667,NA,0.9572,4.9,35,0.3048,0.079079135,129.3385704,0.30525,GRASS,BOTH,GRASS,45
141,CAREX ECHINATA,lygraold.no,1,30,29,17.8,0.33305,NA,15.53,0.2032,NA,NA,NA,GRAMINOID,PERENNIAL,GRAMINOID,41
142,CAREX ECHINATA,lygraint.no,1,0,-1,17.8,0.33305,NA,15.53,0.2032,NA,NA,NA,GRAMINOID,PERENNIAL,GRAMINOID,40
146,CAREX NIGRA,lygraold.no,7.333333333,2,-5.333333333,24.40009307,0.388666667,6.648625922,20.83559904,0.78,0.2198095,52.8,0.2421,GRAMINOID,PERENNIAL,GRAMINOID,41
147,CAREX PANICEA,lygraint.no,3,2,-1,16.1715862,0.31,NA,17.69830765,0.49,NA,9.14,NA,GRAMINOID,PERENNIAL,GRAMINOID,40
148,CAREX PILULIFERA,lygraint.no,1.666666667,1,-0.666666667,27.98325592,0.225625,NA,19.13235729,NA,NA,NA,NA,GRAMINOID,NA,GRAMINOID,40
151,CENTAUREA HYSSOPIFOLIA,ciempoz.es,1.5,0.88,-0.62,17.42720296,0.42,NA,9.955818151,NA,NA,NA,NA,SUBSHRUB,NA,WOODY,17
179,CLAYTONIA PERFOLIATA,cowidrt.ca,21.66666667,14.5,-7.16666667,24.6,0.222866667,NA,52.4560081,0.1524,NA,NA,NA,FORB,BOTH,FORB,19
191,CORNUS SUECICA,lygraint.no,1,1,0,19.69489943,0.171111111,7.812801366,32.24866466,NA,0.1481156,NA,NA,FORB,PERENNIAL,WOODY,40
199,CRUCIATA GLABRA,pineta.es,0.5,0.5,0,17.002,0.194,NA,21.52069774,0.14,NA,NA,NA,FORB,PERENNIAL,FORB,52
209,DACTYLORHIZA MACULATA,lygraint.no,0,1,1,22.6,0.6,NA,24.23285714,NA,NA,NA,NA,FORB,PERENNIAL,FORB,40
210,DACTYLORHIZA MACULATA,pineta.es,1.125,0.5,-0.625,22.6,0.6,NA,24.23285714,NA,NA,NA,NA,FORB,PERENNIAL,FORB,52
214,DAPHNE LAUREOLA,pineta.es,5.5,1.75,-3.75,NA,0.9625,NA,9.236666667,NA,NA,NA,NA,WOODY,PERENNIAL,WOODY,52
245,Epipactis PALUSTRIS,pineta.es,3,3,0,NA,NA,NA,22.62,NA,NA,NA,NA,FORB,PERENNIAL,FORB,52
249,EREMOPHILA GILESII,charleville.au,46.66666667,35,-11.66666667,NA,0.90825,NA,8.200857,NA,NA,NA,NA,SHRUB,PERENNIAL,WOODY,15
250,ERICA TETRALIX,lygraint.no,5.5,2,-3.5,11.50813841,0.465833333,NA,10.60442241,NA,NA,NA,0.07,SUBSHRUB,PERENNIAL,WOODY,40
251,ERICA TETRALIX,lygraold.no,10,5.5,-4.5,11.50813841,0.465833333,NA,10.60442241,NA,NA,NA,0.07,SUBSHRUB,PERENNIAL,WOODY,41
256,ERIOPHORUM ANGUSTIFOLIUM,lygraold.no,1,0,-1,20.00955403,0.392104,5.5,13.32708698,0.2895,0.18,37.5,0.7875,GRAMINOID,PERENNIAL,GRAMINOID,41
257,ERIOPHORUM VAGINATUM,lygraold.no,12,1,-11,18.34176544,0.441666667,7.2,10.24422818,0.4,0.0933333,148.81,0.756666667,GRAMINOID,PERENNIAL,GRAMINOID,41
283,FESTUCA VIVIPARA,lygraint.no,2,1,-1,NA,0.065,NA,11.02,NA,NA,NA,NA,GRASS,PERENNIAL,GRASS,40
297,GALIUM SAXATILE,lygraint.no,1,2,1,25.1,0.175,NA,25.08983957,NA,NA,NA,NA,FORB,PERENNIAL,FORB,40
300,GENISTA SCORPIUS,ebro.es,5.560632001,4.166110667,-1.394521334,NA,1.5,NA,9.527159544,0.84,NA,NA,NA,SHRUB,PERENNIAL,LEGUME,22
304,GERANIUM MOLLE,cowidrt.ca,3.5,8.5,5,26.45,0.296666667,NA,23.20870159,0.53,0.329104478,289.9024475,0.112466667,FORB,THREE,FORB,19
305,GERANIUM PUSILLUM,jenadrt.de,12.33333333,54.33333333,42,17.47,0.2,NA,26.42,0.59,0.417391304,192.0238007,0.1212,FORB,BOTH,FORB,33
313,GYMNADENIA CONOPSEA,pineta.es,0.5,0.5,0,28.85621237,0.45,NA,19.92759166,0.07,NA,NA,NA,FORB,PERENNIAL,FORB,52
315,GYPSOPHILA STRUTHIUM,ciempoz.es,8.034,6.474,-1.56,16.70948548,0.6,NA,4.877171445,NA,NA,NA,NA,SHRUB,PERENNIAL,WOODY,17
316,GYPSOPHILA STRUTHIUM,ebro.es,2.835730333,5.02656,2.190829667,16.70948548,0.6,NA,4.877171445,NA,NA,NA,NA,SHRUB,PERENNIAL,WOODY,22
319,HELIANTHEMUM MARIFOLIUM,ebro.es,1.185808556,0.788599778,-0.397208778,NA,0.3,NA,7.659559676,0.28,NA,NA,NA,SHRUB,PERENNIAL,WOODY,22
322,HELIANTHEMUM SQUAMATUM,ebro.es,0.371756,0.36652,-0.005236,13.91070827,0.2,NA,5.358237548,0.65,NA,NA,NA,SUBSHRUB,PERENNIAL,WOODY,22
323,HELIANTHEMUM SQUAMATUM,ciempoz.es,1.514166667,1.31,-0.204166667,13.91070827,0.2,NA,5.358237548,0.65,NA,NA,NA,SUBSHRUB,PERENNIAL,WOODY,17
324,HELICHRYSUM STOECHAS,ebro.es,0.2258025,0.248273667,0.022471167,15.1,0.4,NA,14.05029913,0.52,0.652701216,6.114890701,0.49195,SHRUB,BOTH,WOODY,22
330,HEPATICA NOBILIS,pineta.es,3,1.75,-1.25,24,NA,NA,27.165,NA,NA,NA,NA,FORB,PERENNIAL,FORB,52
347,JUNIPERUS PHOENICEA,ebro.es,0.623084,0.456404667,-0.166679334,8.407,NA,NA,5.437737901,2.5,0.625121324,8.033595128,0.5192,SHRUB,PERENNIAL,WOODY,22
363,LEPIDIUM SUBULATUM,ciempoz.es,12.93785714,12.90428571,-0.033571426,19.94806715,0.3,NA,6.508870465,0.74,NA,NA,NA,SUBSHRUB,PERENNIAL,WOODY,17
393,LYSIMACHIA EUROPAEA,lygraint.no,1,1,0,32.8,0.09,NA,51,NA,NA,NA,NA,FORB,PERENNIAL,FORB,40
402,MOLINIA CAERULEA,lygraint.no,6,1,-5,19.7245873,0.699125,8.366751778,17.87260174,0.8,0.20066,56.8752851,0.269333333,GRASS,PERENNIAL,GRASS,40
403,MOLINIA CAERULEA,lygraold.no,1.5,7.333333333,5.833333333,19.7245873,0.699125,8.366751778,17.87260174,0.8,0.20066,56.8752851,0.269333333,GRASS,PERENNIAL,GRASS,41
406,NARTHECIUM OSSIFRAGUM,lygraold.no,3,2,-1,24.7,0.2325,NA,24.15,0.22,NA,NA,NA,FORB,PERENNIAL,FORB,41
