,Taxon,site_code,mean.drt.cover.yr1,mean.drt.cover.yr2,diff.drt.trt,leafN.mg.g,height.m,rootN.mg.g,SLA_m2.kg,root.depth_m,RTD.g.cm3,SRL_m.g,rootDiam.mm,local_lifeform,local_lifespan,functional_group,site.id
22,AIRA CARYOPHYLLEA,scruzh.us,2.2727273,0,-2.2727273,19.9,0.155,NA,21.08,NA,NA,NA,0.21,GRASS,ANNUAL,GRASS,55
27,ALYSSUM DESERTORUM,nplatte.us,2,2.25,0.25,NA,0.1,NA,27.17578947,NA,NA,NA,NA,FORB,ANNUAL,FORB,46
35,ANAGALLIS ARVENSIS,scruzh.us,5.6818182,9.75,4.0681818,25,0.187,NA,28.34396552,0.315,NA,NA,NA,FORB,ANNUAL,FORB,55
46,APERA SPICA-VENTI,baddrt.de,9.366666667,0.3,-9.066666667,NA,0.775,NA,19.13333333,0.66,NA,193.8,NA,GRASS,ANNUAL,GRASS,5
48,ARENARIA SERPYLLIFOLIA,jenadrt.de,0.5,0.75,0.25,12,0.075,13.275,23.7,0.21,0.067,NA,0.207422972,FORB,ANNUAL,FORB,33
51,ARISTIDA HOLATHERA,ethadn.au,2.5,3,0.5,8.4875,0.7,2.975,5.62,NA,0.745,NA,0.375,GRASS,ANNUAL,GRASS,26
52,ARISTIDA HOLATHERA,ethadb.au,3,12.5,9.5,8.4875,0.7,2.975,5.62,NA,0.745,NA,0.375,GRASS,ANNUAL,GRASS,25
77,AVENA BARBATA,scruzh.us,0,3,3,17,0.389,NA,25.674375,0.5,0.02363125,149,0.373688235,GRASS,ANNUAL,GRASS,55
78,AVENA BARBATA,scruzl.us,1.2195122,9,7.7804878,17,0.389,NA,25.674375,0.5,0.02363125,149,0.373688235,GRASS,ANNUAL,GRASS,56
79,AVENA BARBATA,scruzm.us,66.17974404,69,2.82025596,17,0.389,NA,25.674375,0.5,0.02363125,149,0.373688235,GRASS,ANNUAL,GRASS,57
80,AVENA BARBATA,naposta.ar,20,20,0,17,0.389,NA,25.674375,0.5,0.02363125,149,0.373688235,GRASS,ANNUAL,GRASS,45
81,BASSIA SCOPARIA,antelope.us,0.70375,0.25,-0.45375,32.45,1.184444444,NA,19.65690846,NA,NA,NA,NA,FORB,ANNUAL,FORB,3
86,BOUTELOUA ARISTIDOIDES,cerrillos.ar,36.565,30.42,-6.145,15.9,0.04,NA,12.89,0.3,NA,103.65,NA,GRASS,ANNUAL,GRASS,13
91,BRACHYPODIUM DISTACHYON,scruzh.us,2.4691358,0,-2.4691358,27.125,0.1005,NA,30.85889908,0.5,NA,NA,NA,FORB,ANNUAL,GRASS,55
99,BRIZA MINOR,slp.us,1,0,-1,17.3,0.6,NA,40.562519,NA,NA,NA,0.284,GRASS,ANNUAL,GRASS,58
102,BROMUS DIANDRUS,scruzl.us,1.2195122,5,3.7804878,19.4,0.99,NA,39,NA,NA,238.8,NA,GRASS,ANNUAL,GRASS,56
103,BROMUS DIANDRUS,scruzm.us,2.1978022,6.2,4.0021978,19.4,0.99,NA,39,NA,NA,238.8,NA,GRASS,ANNUAL,GRASS,57
106,BROMUS HORDEACEUS,scruzh.us,2.76928305,5,2.23071695,25.57289667,0.6899,10.2,27.25455017,0.254,0.137083333,471.2364007,0.2,GRASS,ANNUAL,GRASS,55
