Taxon,Taxonomic.status,Taxon.update,Taxon.notes,LA_mm2,leafC.mg.g,leafN.mg.g,height.m,rootC.mg.g,rootN.mg.g,seed.dry.mass.mg,SLA_m2/kg,leaf.thickness.mm,root.depth_m,RTD.g.cm3,fineRTD,LDMC.g.g,SRL_m/g,fineSRL_m/g,rootDiam.mm,Fine.root.C.N.ratio,Root.Shoot.Ratio,Notes,Notes.2,site_name,Family,local_lifeform,local_lifespan,functional_group,SOURCES
CREPIS FOETIDA,Accepted,CREPIS FOETIDA,,,439,17.2,0.27525,458.9,14.175,0.788652,20.14985816,0.19666,2.5,0.072,,0.162,296.13,,0.280689138,,,,"RootC and N, RTD, SRL, Diam from groot",Kiskunsag,Compositae,FORB,PERENNIAL,FORB,
PICRIS HIERACIOIDES,Accepted,PICRIS HIERACIOIDES,,1275.934545,432,24.11,0.157,426.8,12.13,0.935321429,18.58,,1.23,0.0725,,0.175369615,193.765,,0.45557832,,,"LeafN, height, SLA from PI","RootC and N, RTD, SRL, Diam from groot","Bad Drought, Jena",Compositae,FORB,PERENNIAL,FORB,
VICIA SEPIUM,Accepted,VICIA SEPIUM,,1242,436,46.0056,0.683333333,394,27.307,20.392355,38.73428571,,0.52,0.077475,,0.186,406.25,,0.83175,,,root c from groot,,"Bad Drought, Bayreuth_DroughtNet, EE Elva",Fabaceae,FORB,PERENNIAL,LEGUME,
BROMUS CATHARTICUS,Accepted,BROMUS CATHARTICUS,,1884.96,,,0.9572,,4.9,9.006024135,35,,0.3048,0.079079135,,,129.3385704,,0.30525,,,"Root N, RTD, SRL, Diam from groot",,"Mar Chiquita Drt, Naposta",Poaceae,GRASS,NULL,GRASS,
AMBROSIA ARTEMISIIFOLIA,Accepted,AMBROSIA ARTEMISIIFOLIA,,3781.883333,454,23.1,0.226,,15.077975,3.99,21.45333609,,1.22,0.08,,0.151706667,135,,0.36,38.43387379,0.119945091,"Root N, SRL, RTD, Diam from Groot",,"Bivens Arm, Cedar Point - Drought-Net, Cedar Creek Savanna, ESW",Compositae,FORB,ANNUAL,FORB,
POA TRIVIALIS,Accepted,POA TRIVIALIS,,156.5,405.3998725,34.02187304,0.640983219,389.4304167,31.34075583,0.184374264,38.18960088,0.10375,0.3048,0.080269491,,0.315808801,601.5858444,,0.173758288,,,"RTD, SRL, diam from groot",,"Bad Drought, Bayreuth_DroughtNet, Jena",Poaceae,GRASS,PERENNIAL,GRASS,
TAGETES MINUTA,Accepted,TAGETES MINUTA,,,,44.5,0.7,,10.3,0.975,13.875,0.250833333,,0.081,,,44.84,,0.3,,,"RootN, RTD, SRL from groot",,Ukulinga Drought,Compositae,FORB,ANNUAL,FORB,
MEDICAGO MINIMA,Accepted,MEDICAGO MINIMA,,20,454.7,36.2,0.1701,422.15,33.34666667,1.075447619,24.66638889,0.1427,0.22,0.0815,,0.2505,211.5066667,,0.3834,,,"RootC and N, RTD, SRL, Diam from groot",,"Chacra Experimental Patagones, CredoJ, CredoM, Kiskunsag",Fabaceae,LEGUME,ANNUAL,LEGUME,
CARLINA VULGARIS,Accepted,CARLINA VULGARIS,,665.2333333,,15.78260486,0.385,,,1.423285714,22.08870347,,0.87,0.082888022,,0.097973333,322.3538749,,0.246275926,,,"diam, RTD, SRL from groot",,"Allmend Brachy, Allmend Ovina",Compositae,FORB,PERENNIAL,FORB,
EMPETRUM NIGRUM,Accepted,EMPETRUM NIGRUM,,5.375333333,562.7960407,11.54888567,0.271133333,,6.06,1.055775,9.729822391,0.178001852,0.2532,0.0857764,,0.378649643,,,,56.2037847,,,,"HOIDE, Lygra_intermediate, Lygra_old",Ericaceae,SHRUB,PERENNIAL,WOODY,
HELIANTHUS ANNUUS,Accepted,HELIANTHUS ANNUUS,,11293.96333,,18,2.847733333,,27.3,32.60301121,18.91505647,0.29,0.2032,0.086907021,,0.132666667,191.3969043,,0.945853228,,,"RootN, RTD, SLR, Diam from groot",,"Cedar Point - Drought-Net, Konza Drt",Compositae,FORB,ANNUAL,FORB,
CONYZA CANADENSIS,Accepted,CONYZA CANADENSIS,,660,467,27.9,0.836805556,,,0.169654586,21.34368455,,0.1524,0.09,,0.209242853,119,,0.35,46.4392949,0.104496629,,,"Bivens Arm, Kiskunsag, SLP",Compositae,FORB,NULL,FORB,
ERIGERON CANADENSIS,Accepted,ERIGERON CANADENSIS,,41.78,447.9,27.5,0.676,,,0.05,21.20435157,0.2,1.09,0.09,,0.28489284,119,,0.35,,,"RTD, SRL, Diam from groot",,"Bad Drought, Cedar Creek Savanna, SantaCruzLow, SantaCruzMiddle",Compositae,FORB,ANNUAL,FORB,
HELICTOTRICHON PUBESCENS,Accepted,HELICTOTRICHON PUBESCENS,,967.09,433.9,24.3,0.680625,308.8028214,7.892636683,1.848441667,18.69463141,0.1937,0.3,0.090296815,,0.264,62.86954053,,0.161264502,,0.347,"RootC  and N, RTD, SLR, Diam, depth from groot",,"EE Elva, La Campana North Facing, La Campana South Facing, Quebrada de Talca North Facing, Quebrada de Talca South Facing",Poaceae,GRASS,PERENNIAL,GRASS,
FESTUCA PRATENSIS,Accepted,FESTUCA PRATENSIS,,3095.795,424.7,22.6929621,0.4,377.7502939,9.037334647,,21.47,,0.233,0.091553497,,,289.7039134,,0.217565197,,,"RootC and N, RTD, SRL, Diam from groot",,"Bayreuth_DroughtNet, EE Elva, Rhijnauwen, Teshio Experimental Grassland",Poaceae,GRASS,PERENNIAL,GRASS,
ERIOPHORUM VAGINATUM,Accepted,ERIOPHORUM VAGINATUM,,215,462.7079143,18.34176544,0.441666667,450.9,7.2,0.86684,10.24422818,1.435,0.4,0.0933333,,0.339430593,148.81,,0.756666667,,,"Root C, SRL, Diam from groot",,"Lygra_intermediate, Lygra_old",Cyperaceae,GRAMINOID,NULL,GRAMINOID,
VACCINIUM MYRTILLUS,Accepted,VACCINIUM MYRTILLUS,,119.6643643,508.2852444,18.74819405,0.386262821,504.0025913,5.5077,5.987683333,20.04821764,0.139976852,0.007,0.094987,,0.352248318,7,,0.35,47.456761,,"RootC, depth, diam from groot",,"Lygra_intermediate, Lygra_old",Ericaceae,SUBSHRUB,NULL,WOODY,
VICIA AMERICANA,Accepted,VICIA AMERICANA,,423.2095455,473.368,42.658,0.2765,410.02,21.77,19.01,21.29655909,0.21,0.254,0.096375062,,0.24015,29.37063333,,0.363178334,,,"rootC, RTD, SRL, diam from groot",,"Brookdale, Kernen_burned, Kernen_unburned, Kinsella, Matador",Fabaceae,VINE,PERENNIAL,LEGUME,
COREOPSIS PALMATA,Accepted,COREOPSIS PALMATA,,315.5671376,457.0478333,12.06502778,0.614,,18.5591,1.989,18.06209157,0.32,,0.1,,0.317151372,82.33333333,,0.33,,,"rootN, RTD, SRL, Diam from groot",,"Cedar Creek Savanna, Cedar Creek Trait ",Compositae,FORB,PERENNIAL,FORB,
SISYRINCHIUM BELLUM,Accepted,SISYRINCHIUM BELLUM,,8.331166667,,22.35,0.2558,,,2.077875,23.93793933,0.172166667,,0.101107003,,0.22131,118.754489,,0.32952,,,"SLA, thick, Diam, SRL, RTD from Justin",,SantaCruzHigh,Iridaceae,FORB,PERENNIAL,FORB,
PASPALUM DILATATUM,Accepted,PASPALUM DILATATUM,,1147.5,,17.4533552,0.4722,,8.133333333,1.513530762,16.30478,,0.1524,0.102,,0.262,18.37,,0.62,,,"RootN, RTD, SRL, from groot",,"Las Chilcas Drt, San Claudio",Poaceae,GRASS,PERENNIAL,GRASS,
ARTEMISIA VULGARIS,Accepted,ARTEMISIA VULGARIS,,3914.426333,424.1666667,44.63333333,1.439387862,,,0.152111429,21.44697757,0.154,,0.103788328,,0.232392647,270.1683965,,0.241066667,,,"Diam, RTD, SRL from Groot",,EE Elva,Compositae,FORB,PERENNIAL,FORB,
GLECHOMA HEDERACEA,Accepted,GLECHOMA HEDERACEA,,143.35,410.3,13.09,0.1,388.0332257,15.84806833,,21.32,0.22,0.14,0.104315255,,0.2336,419.5272801,,0.213838095,,,"leafN, height, SLA from PI","RootC and N, RTD, SLR, Diam from groot",Jena,Lamiaceae,FORB,PERENNIAL,FORB,
LOLIUM PERENNE,Accepted,LOLIUM PERENNE,,442.22211,398.0666667,19.23,0.429,417.5,9.7,1.914065261,18.31,0.129166667,0.254,0.104845371,,0.202431764,220.8471095,,0.1,,,"LeafN, height, SLA from PI","RTD, SRL from groot","Bad Drought, Bayreuth_DroughtNet, Jena, SantaCruzLow, SantaCruzMiddle, Validate",Poaceae,GRASS,"PERENNIAL, ANNUAL (SantaCruzLow, SantaCruzMiddle)",GRASS,
GALIUM MOLLUGO,Accepted,GALIUM MOLLUGO,,80.5,442.98,29.6653889,0.57825,400.1552105,12.06782427,0.732414815,21.5515698,0.345,0.1688729,0.105319476,,0.173241429,406.1581499,,0.264461111,,,"RootC and N, RTD, SRL, Diam from groot",,"Allmend Brachy, Rhijnauwen",Rubiaceae,FORB,ANNUAL,FORB,
PRUNELLA VULGARIS,Accepted,PRUNELLA VULGARIS,,675.3333333,439.2,16.811555,0.250255556,420.6676007,5.87871,0.904925132,22.91466839,0.149,0.254,0.105496279,,0.161865448,223.0600732,,0.294300536,,0.249,"RootC, RTD, SRL, diam from groot",,"Allmend Brachy, Allmend Ovina, Bayreuth_DroughtNet, Rhijnauwen",Lamiaceae,FORB,PERENNIAL,FORB,
MEDICAGO LUPULINA,Accepted,MEDICAGO LUPULINA,,487.87,474.8,32.94,0.112,421.8078578,26.12778969,1.526346725,21.96,0.135,0.3048,0.105696982,,0.21766561,180.1564169,,0.281707971,,0.394,"LeafN, height, SLA from PI","RootC and N, RTD, SRL, Diam from groot","Allmend Brachy, Allmend Ovina, Bad Drought, EE Elva, ESW, Jena, Mar Chiquita Drt, SantaCruzHigh",Fabaceae,FORB,BIENNIAL,LEGUME,
ANTHOXANTHUM ODORATUM,Accepted,ANTHOXANTHUM ODORATUM,,225.4777443,445.5531639,23.59023243,0.383753535,418.7333333,8.005555556,0.6351875,24.91123988,0.129638889,0.155,0.107066623,,0.317219517,344.3025853,,0.111111111,,0.289,"depth, RTD, SRL from Groot",,"Bayreuth_DroughtNet, Cowichan Drt, EE Elva, Lygra_intermediate, Passo Gavia, Rhijnauwen, Teshio Experimental Grassland",Poaceae,GRASS,PERENNIAL,GRASS,
POA PRATENSIS,Accepted,POA PRATENSIS,,189.6281818,441.768,14.974,0.291,390.85,9.46,0.109,24.13531364,0.17685,0.254,0.107208566,,0.271785764,49.82696,,0.196318683,42.55875267,0.037,"LeafN, height, SLA from PI","RootC, RTD, SRL, Diam from groot","Bad Drought, Bayreuth_DroughtNet, Brookdale, Cedar Creek Savanna, Cedar Creek Trait , Cowichan Drt, ESW, Jena, Kernen_burned, Kernen_unburned, Kinsella, Matador, Rhijnauwen, Validate",Poaceae,GRASS,PERENNIAL,GRASS,
TRIFOLIUM DUBIUM,Accepted,TRIFOLIUM DUBIUM,,135.5,,35.6,0.076,420.5905765,27.56771735,0.38150625,30.39,0.462,0.3445,0.109,,0.1995,254.8747547,,0.231187416,,0.19161113,"LeafN, height, SLA from PI","RootC and N, depth, RTD, SRL, diam from groot","Bad Drought, Bayreuth_DroughtNet, Cowichan Drt, Jena, SantaCruzHigh",Fabaceae,LEGUME,ANNUAL,LEGUME,
DALEA CANDIDA,Accepted,DALEA CANDIDA,,216.03,404.7,25.2,0.46064,,18,1.537888889,10.76043991,0.18,1.74,0.11247663,,0.292063905,80.24918574,,0.309342857,,,"RTD, SRL, RootN,Diam from groot",,"Konza Drt, Oklahoma (KAEFS-OK)",Fabaceae,LEGUME,PERENNIAL,LEGUME,
CREPIS BIENNIS,Accepted,CREPIS BIENNIS,,6087.5,,18.28,0.183,463.7649848,10.22761651,1.3464,19.04,,0.99,0.113427835,,0.1325,154.7062535,,0.425214286,,,"leafN, height, SLA from PI","RootC and N, RTD, SRL, Diam from groot","Allmend Brachy, Bad Drought, Bayreuth_DroughtNet, Jena",Compositae,FORB,PERENNIAL,FORB,
TRIFOLIUM MONTANUM,Accepted,TRIFOLIUM MONTANUM,,1624.066667,458.54,34.121,0.306666667,,,0.77515625,18.67023642,,0.825,0.113646105,,0.259298333,238.0656783,,0.246975,,,"RTD, SRL, diam from groot",,"Allmend Brachy, Allmend Ovina, Pineta",Fabaceae,FORB,PERENNIAL,LEGUME,
AGRIMONIA EUPATORIA,Accepted,AGRIMONIA EUPATORIA,,8461,425,14.78,0.087,,14.78,18.92263571,13.66,,1.55,0.1143,,0.31825,0.335,,81.8105,,,"leafN, SLA, height PI data",,"Allmend Brachy, EE Elva, Jena, Rhijnauwen",Rosaceae,FORB,PERENNIAL,FORB,
VERONICA CHAMAEDRYS,Accepted,VERONICA CHAMAEDRYS,,355.5,465.44,25.804,0.234,395.6747839,10.00287923,0.20452,28.10742313,0.16675,0.34,0.114461321,,0.264392857,349.9700698,,0.149373333,,,"RootC and N, RTD, SRL, diam from groot",,"Bayreuth_DroughtNet, EE Elva, Pineta, Rhijnauwen",Scrophulariaceae,FORB,PERENNIAL,FORB,
SYMPHYOTRICHUM FALCATUM,Accepted,SYMPHYOTRICHUM FALCATUM,,73.5655,423.46,22.282,0.4175,,8.69,0.199,14.18715,,,0.117472,,0.1984,79.08403333,,0.31118,,,"SRL, diam from groot, SLA and height from Julie Larson",,Kinsella,Compositae,FORB,PERENNIAL,FORB,
ARRHENATHERUM ELATIUS,Accepted,ARRHENATHERUM ELATIUS,,1223,429.0133333,25.84,0.857,368.7593474,8.902914385,2.702454099,29.67,0.14,0.3556,0.119407807,,0.26491161,190.1954961,,0.304707692,,,"LeafN, height, SLA from PI","RootC and N, Diam, RTD, SRL from Groot","Bayreuth_DroughtNet, Jena, Rhijnauwen, Validate",Poaceae,"GRASS, Forb (Jena)",PERENNIAL,GRASS,
MELILOTUS OFFICINALIS,Accepted,MELILOTUS OFFICINALIS,,607,,58.3,1.5,366,3.75,2.7,19.375,0.18,1.16,0.12,,0.2376667,100,,0.29,,,"RootC and N, RTD, SRL, Diam from groot",,"Changling, Mar Chiquita Drt",Fabaceae,GRASS,BIENNIAL,LEGUME,
SYMPHYOTRICHUM NOVAE-ANGLIAE,Accepted,SYMPHYOTRICHUM NOVAE-ANGLIAE,,,436.5,12.17017,1.022302632,,,0.483555556,23.88988777,,,0.12,,0.22427072,52,,0.46,,,"RTD, SRL from groot",,"ESW, Purdue Wildlife Area",Compositae,FORB,PERENNIAL,FORB,
SYMPHYOTRICHUM OOLENTANGIENSE,Accepted,SYMPHYOTRICHUM OOLENTANGIENSE,,1593.716617,420.2786667,16.02907407,0.7209,,19.81443763,0.17,14.68950044,,,0.12,,0.243617151,81.16666667,,0.35,,,"RootN, RTD, SRL, diam from groot",,Cedar Creek Savanna,Compositae,FORB,PERENNIAL,FORB,
RANUNCULUS ACRIS,Accepted,RANUNCULUS ACRIS,,439.0756322,431.3919054,24.40250649,0.455420833,405.129521,11.25,1.544898462,22.35741937,0.299166667,0.44,0.121892828,,0.213686451,139.8527763,,0.35099,,,"RootC, RTD, SRL, Diam from groot",,"Allmend Brachy, Bayreuth_DroughtNet, EE Elva, Rhijnauwen",Ranunculaceae,FORB,PERENNIAL,FORB,
TRIFOLIUM REPENS,Accepted,TRIFOLIUM REPENS,,450.8333333,440.9383209,43.78354086,0.236251111,414.8102958,21.66035,0.695858417,26.94650771,0.153063333,0.3048,0.123144013,,0.193546251,192.8045087,,0.263218929,,0.324,"RootC, RTD, SRL, diam from groot",,"Bad Drought, Bayreuth_DroughtNet, EE Elva, ESW, Jena, Pineta, Rhijnauwen, Teshio Experimental Grassland",Fabaceae,FORB,PERENNIAL,LEGUME,
