Taxon,Taxonomic.status,Taxon.update,Taxon.notes,LA_mm2,leafC.mg.g,leafN.mg.g,height.m,rootC.mg.g,rootN.mg.g,seed.dry.mass.mg,SLA_m2/kg,leaf.thickness.mm,root.depth_m,RTD.g.cm3,fineRTD,LDMC.g.g,SRL_m/g,fineSRL_m/g,rootDiam.mm,Fine.root.C.N.ratio,Root.Shoot.Ratio,Notes,Notes.2,site_name,Family,local_lifeform,local_lifespan,functional_group,SOURCES
LACTUCA SERRIOLA,Accepted,LACTUCA SERRIOLA,,2514.162,454,32,0.9375,,,0.475959259,21.4302,,0.825,0.2572538,,0.186968332,193.07,,0.61,,,"depth from groot, Rdiam from Julie Larson",,"Bad Drought, Cap Mcdowell, Jena, Naposta, ORE IDE AA, SantaCruzLow",Compositae,FORB,BIENNIAL,FORB,
FRAGARIA VIRIDIS,Accepted,FRAGARIA VIRIDIS,,,,28.3614838,,,,,17.04997,,0.32,0.2599583,,,215,,1.136,,,,,Jena,Rosaceae,FORB,PERENNIAL,FORB,
DESMODIUM ILLINOENSE,Accepted,DESMODIUM ILLINOENSE,,,,14.28767,1.0968,,,,11.96,0.11,,0.26,,0.309433,,,0.2997,,,Diam from groot,,Purdue Wildlife Area,Fabaceae,LEGUME,NULL,LEGUME,
ARMERIA MARITIMA,Accepted,ARMERIA MARITIMA,,,231.164,17,0.308106667,406.046,9.3,0.62,21.1502,,0.254,0.2612175,,0.17294,57.875,,0.221876923,,,Root N and Diam from Groot,https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2435.13656,Potrok Aike Drt,Plumbaginaceae,FORB,PERENNIAL,FORB,
ARTEMISIA CANA,Accepted,ARTEMISIA CANA,,,,24,1.524,,,0.400022744,10.06,,0.508,0.261669741,,,55.91952402,,0.31,,,"RTD, SRL, Diam from Groot",,ORE IDE AC,Compositae,SHRUB,PERENNIAL,WOODY,
POLYGALA VULGARIS,Accepted,POLYGALA VULGARIS,,53.22625,,,0.172916667,,,1.780202667,19.02952398,,0.5,0.2661556,,0.253637847,396.667,,0.7826128,,,,,"Allmend Brachy, Allmend Ovina",Polygalaceae,FORB,PERENNIAL,FORB,
BROMUS INERMIS,Accepted,BROMUS INERMIS,,1924.291667,450.6212311,21.49936399,0.81,378.2,17.20145333,2.963723205,17.7899321,0.18,0.3048,0.268601793,,0.380989092,108.7724975,,0.281416667,34.0853548,0.152911037,"RootC and N, RTD, SRL, Diam, from groot",,"Brookdale, Cedar Creek Trait ",Poaceae,GRASS,PERENNIAL,GRASS,
ROSA ACICULARIS,Accepted,ROSA ACICULARIS,,2644,,10.65,0.762,571.417869,19.83128735,12.54153986,18.42,0.2,0.1524,0.27,,,55.8341358,,0.2912,,,"RootC and N, RTD, SRL, diam from groot",,Brookdale,Rosaceae,SHRUB,PERENNIAL,WOODY,
TRAGOPOGON DUBIUS,Accepted,TRAGOPOGON DUBIUS,,778.0904762,453.458,26.314,0.34175,406.94,11.37,5.078,18.88481429,0.26,0.1524,0.27502617,,0.23915,48.55913333,,0.359875,,0.122930454,"RTD, SRL, diam from groot, Leaf N from Julie Larson",,"Bad Drought, Cedar Point - Drought-Net, Hardware Ranch, Kernen_burned, Kernen_unburned, Kinsella, Matador, Mattheis, Naposta, North Platte, ORE IDE AC",Compositae,FORB,BIENNIAL,FORB,
ACER SACCHARUM,Accepted,ACER SACCHARUM,,,,18.14984431,25.751,441.5399468,5.2,58.9183477,29.94474253,0.126605,0.8128,0.27589533,,0.375488337,45.40188716,,0.449927887,29.9,,"rootC,RTD,SRL, Diam from Groot",,Indiana University RTP,Sapindaceae,TREE,PERENNIAL,WOODY,
HORDEUM PUSILLUM,Accepted,HORDEUM PUSILLUM,,,,,0.36576,,,7.225039453,32.4,0.1,0.2032,0.278984039,,,157.1579379,,0.1830875,,,"RTD, SRL, diam from groot",,Mar Chiquita Drt,Poaceae,GRASS,ANNUAL,GRASS,
EUPHORBIA DENTATA,Accepted,EUPHORBIA DENTATA,,,,,,,,5.379583333,30,0.12,,0.28,,,,,0.21,,,,,Oklahoma (KAEFS-OK),Euphorbiaceae,FORB,ANNUAL,FORB,
CIRSIUM VULGARE,Accepted,CIRSIUM VULGARE,,7619.4625,,38.6,1.175,,,2.684122222,14.23064781,0.492222222,2.1,0.285613682,,0.146659167,131.2433191,,0.184,,,"RTD, SRL, Diam from groot",,"Bad Drought, Las Chilcas Drt, ESW, Naposta, SantaCruzHigh, SantaCruzLow, SantaCruzMiddle",Compositae,FORB,BIENNIAL,FORB,
TARAXACUM CAMPYLODES,Accepted,TARAXACUM CAMPYLODES,,1499.574667,409.7013602,28.3472693,0.044,411,10.73618,0.646134654,30.05916441,0.214083333,0.1524,0.2871857,,0.143880875,213.1,,0.292,,,"RootC, SRL, diam from groot",,"Cedar Creek Trait, Jena, Validate",Compositae,FORB,PERENNIAL,FORB,
PICEA ABIES,Accepted,PICEA ABIES,,22.2,520.7541946,13.01773524,32.57365602,449.705,8.231665,8.246697464,5.074959129,0.714389554,0.7112,0.289806897,,,16.43077549,,0.727774529,37.1,,"RTD, SRL, diam from groot",,Kranzberg,Pinaceae,TREE,PERENNIAL,WOODY,
SANGUISORBA MINOR,Accepted,SANGUISORBA MINOR,,3124.25,458,19.82857143,0.340136667,419.390573,13.0925861,6.194200572,17.81475981,0.14875,0.3048,0.290931094,,0.330051111,118.7237432,,0.4611271,,,"RootC and N, RTD, SRL, diam from groot",,"Allmend Brachy, Allmend Ovina, Ayora Experimental Station",Rosaceae,FORB,PERENNIAL,FORB,
TRIPLEUROSPERMUM INODORUM,Accepted,TRIPLEUROSPERMUM INODORUM,,251.188,418,16.5,0.6,,,0.345375,22.90687782,0.27,0.05,0.2937,,0.145666667,198.182,,0.7459309,,,,,Bad Drought,Compositae,FORB,ANNUAL,FORB,
SONCHUS ASPER,Accepted,SONCHUS ASPER,,5417.333333,397.8,27.6,0.5875,,,0.27749537,24.97389591,0.15,0.69,0.301036269,,0.123666667,223.2180487,,0.1419,,,"RTD, SRL, diam from groot",,"Bad Drought, Brookdale, ESW, SantaCruzHigh, SantaCruzLow, SantaCruzMiddle",Compositae,FORB,ANNUAL,FORB,
DESMANTHUS ILLINOENSIS,Accepted,DESMANTHUS ILLINOENSIS,,1790,,38.8,0.9144,,,5.25080153,9.88,,,0.3048,,,45.09036443,,0.25,,,SRL from groot,,Oklahoma (KAEFS-OK),Fabaceae,FORB,PERENNIAL,LEGUME,
LINUM CATHARTICUM,Accepted,LINUM CATHARTICUM,,24.138,450.553,20.2751018,0.184833333,,,0.149398476,29.89038332,0.13575,0.18,0.3081,,0.21,160,,1.190476,,0.174,,,"Allmend Brachy, Allmend Ovina, EE Elva",Linaceae,FORB,ANNUAL,FORB,
ELYMUS LANCEOLATUS,Accepted,ELYMUS LANCEOLATUS,,366.89848,445.39249,25.371642,,393,,4.163333333,22.74526261,0.1538,1.25,0.30820288,,0.2186155,94.78007133,,0.221186667,,,"RootC, RTD, depth, SRL from groot",,Kinsella,Poaceae,GRASS,PERENNIAL,GRASS,
SPHAERALCEA COCCINEA,Accepted,SPHAERALCEA COCCINEA,,377.1125,,28.09,0.4572,,,2.301932367,12.61454363,0.2885,0.1524,0.312666667,6.69E-07,0.318643,65.5839699,,0.3163,,,"RTD, SRL, diam from groot","SLA RTD, from Farkas, T.E., B.P. Gerstner, and K.D. Whitney. 2021. SEV-LTER Plant Traits Database ver 1. Environmental Data Initiative. https://doi.org/10.6073/pasta/5b3a6d80a1c6d3121a2196cb40838849 (Accessed 2023-03-20).","Cedar Point - Drought-Net, North Platte",Malvaceae,FORB,PERENNIAL,FORB,
SCORZONEROIDES AUTUMNALIS,Accepted,SCORZONEROIDES AUTUMNALIS,,185.5803226,430.6309329,19.34660756,0.310966667,,,0.742329167,21.52466367,0.312,0.199327,0.3144167,,0.159158935,268.333,,1.400488,,0.734,,,"Bayreuth_DroughtNet, EE Elva, Jena, SantaCruzHigh",Compositae,FORB,PERENNIAL,FORB,
PIMPINELLA SAXIFRAGA,Accepted,PIMPINELLA SAXIFRAGA,,2609.5,437.8666667,21.22166667,0.445,385.2,3.322678571,1.235127778,21.46439541,,2.42685,0.315348446,,0.2855,149.6596103,,0.228622222,,,"RootC and N, RTD, SRL, diam from groot",,"Allmend Brachy, Allmend Ovina, Pineta",Apiaceae,FORB,PERENNIAL,FORB,
GALIUM BOREALE,Accepted,GALIUM BOREALE,,79.79844813,416.25275,18.80683333,0.37,,10,0.660091708,22.71017578,,0.1524,0.315984509,,0.210856667,172.8382766,,0.1779,,3.292,"RTD, SRL, Diam from groot",,"Brookdale, Cedar Creek Savanna, Kernen_burned, Kernen_unburned, Matador",Rubiaceae,FORB,PERENNIAL,FORB,
POA ANGUSTIFOLIA,Accepted,POA ANGUSTIFOLIA,,429.5,417.052,12.95,0.48,403.476,5.764,0.176752962,20.11666667,,,0.316453559,,0.4245,657.7263061,,0.113446154,,,"RTD, SRL, diam from groot",,"Bad Drought, EE Elva",Poaceae,GRASS,PERENNIAL,GRASS,
ASCLEPIAS VIRIDIS,Accepted,ASCLEPIAS VIRIDIS,,,,,0.456,,,5.2525,10.46681531,0.2,,0.320746666,,,41.57111916,,0.36446,,,"Diam, RTD, SRL from Groot",,"Konza Drt, Oklahoma (KAEFS-OK)",Apocynaceae,FORB,PERENNIAL,FORB,
SYMPHYOTRICHUM OBLONGIFOLIUM,Accepted,SYMPHYOTRICHUM OBLONGIFOLIUM,,,,,,,,,10.48,0.2,0.73,0.324153605,,,44.79630213,,0.314933333,,,"depth, RTD, SRL, diam from groot",,Konza Drt,Compositae,FORB,PERENNIAL,FORB,
APOCYNUM CANNABINUM,Accepted,APOCYNUM CANNABINUM,,,,,0.95292,,,0.967932367,10.21642474,0.15,0.3048,0.326740067,,,54.03916377,,0.304733333,,,"diam, RTD, SRL from Groot",,Purdue Wildlife Area,Apocynaceae,FORB,NULL,FORB,
ERIGERON ANNUUS,Accepted,ERIGERON ANNUUS,,907.6666667,458.2143783,13.87251282,0.790891667,,,0.037333333,23.37334387,0.267,1.02,0.32875817,,0.253843451,62.7520477,,0.25,,,"RTD, SRL from groot",,ESW,Compositae,FORB,ANNUAL,FORB,
PANICUM VIRGATUM,Accepted,PANICUM VIRGATUM,,824.8292916,449.258375,13.38217228,0.926,461.1,7.8,1.295431597,29.26984617,0.14,0.075,0.32898758,,0.586487741,120.510799,5.002728067,0.39,,0.828612,"RTD, SRL from groot",,"Cedar Creek Savanna, Cedar Creek Trait, Konza Drt, Oklahoma (KAEFS-OK)",Poaceae,GRASS,PERENNIAL,GRASS,
GERANIUM MOLLE,Accepted,GERANIUM MOLLE,,457.9774833,457,26.45,0.296666667,,,1.107041667,23.20870159,,0.53,0.329104478,,0.186666667,289.9024475,,0.112466667,,0.178,"RTD, SLR, Diam from groot",,Cowichan Drt,Geraniaceae,FORB,NULL,FORB,
DAUCUS CAROTA,Accepted,DAUCUS CAROTA,,2043,430.2124732,23.75644602,0.487097662,388.294622,12.75277167,1.061872467,17.37707021,,0.8266667,0.329231092,,0.293200904,244.5257138,,0.314314803,,,"RootC and N, RTD, SRL, Diam from groot",,"EE Elva, ESW, Jena",Apiaceae,FORB,BIENNIAL,FORB,
ERIACHNE ARISTIDEA,Accepted,ERIACHNE ARISTIDEA,,351,550,8.1,0.4625,540,4.5,1.4,38.9,0.19,,0.33,,,,,0.9,,,RTD from groot,,"Ethabuka_DNB, Ethabuka_DNU",Poaceae,GRASS,NULL,GRASS,
RUMEX CRISPUS,Accepted,RUMEX CRISPUS,,6290,439.7947272,28.64619072,0.846916667,391.8,3.807,1.773211842,98.2,28.96982449,3.3,0.330035336,,0.136728815,154.3076856,1.056194309,0.17924,,,"RootC, RTD, SRL, diam from groot",,"Bad Drought, Jena, SantaCruzLow, SantaCruzMiddle",Polygonaceae,FORB,PERENNIAL,FORB,
CYNOSURUS CRISTATUS,Accepted,CYNOSURUS CRISTATUS,,353.156,500,20.5,0.588,448.14,8.98,0.527373148,25.76472222,,0.22,0.3312667,,0.250105714,24.6,,0.705,,,,,"Bayreuth_DroughtNet, Rhijnauwen",Poaceae,GRASS,PERENNIAL,GRASS,
LUZULA CAMPESTRIS,Accepted,LUZULA CAMPESTRIS,,73,,31.3433412,0.205,,,0.632828444,23.94844812,0.222,0.21,0.333333333,,0.237988,551.1830025,,0.145733333,,0.167,"RTD, SRL, Diam from groot",,Bayreuth_DroughtNet,Juncaceae,GRASS,PERENNIAL,GRAMINOID,
COMANDRA UMBELLATA,Accepted,COMANDRA UMBELLATA,,111.4893294,424.0089333,21.0594,,,,89.122,18.08533756,,,0.334821433,,,31.36179282,,0.321385714,,,"RTD, SRL, Diam from groot",,"Brookdale, Cedar Creek Savanna, Hardware Ranch, Matador",Santalaceae,FORB,PERENNIAL,FORB,
STELLARIA GRAMINEA,Accepted,STELLARIA GRAMINEA,,76.33333333,446.36,29.426,0.460386667,,,0.291668333,29.05086069,,0.34,0.337078652,,0.140166111,251.0337458,,0.135266667,,0.502,"RTD, SRL, diam from groot",,"EE Elva, Teshio Experimental Grassland",Caryophyllaceae,FORB,PERENNIAL,FORB,
VICIA HIRSUTA,Accepted,VICIA HIRSUTA,,305.3333333,,43.2098,0.4375,,28.02801,5.848192857,22.05714286,,0.66,0.3375,,0.240333333,87.90712843,,0.2074,,,"rootC, RTD, SRL, diam from groot",,"Bad Drought, Bayreuth_DroughtNet, Cowichan Drt",Fabaceae,FORB,ANNUAL,LEGUME,
SCABIOSA COLUMBARIA,Accepted,SCABIOSA COLUMBARIA,,5293.333333,,21.2,0.594444444,,,1.867481481,19.16302632,,0.9,0.347953216,,0.171333333,120.2294669,,0.181166667,,,"RTD, SRL, diam from groot",,"Allmend Brachy, Allmend Ovina, Ukulinga Drought",Dipsacaceae,FORB,PERENNIAL,FORB,
HEUCHERA RICHARDSONII,Accepted,HEUCHERA RICHARDSONII,,,,,0.28,,,0.05825,9.880022444,,,0.35,,0.317279498,91.23542858,,0.2062,,,"RTD, SLR, Diam from groot",,"Brookdale, Kernen_burned",Saxifragaceae,FORB,PERENNIAL,FORB,
FRAGARIA VESCA,Accepted,FRAGARIA VESCA,,2393.5,433,16.48863464,0.136111111,,,7.449220682,24.4032544,,0.267,0.351086957,,0.348106351,312.2441806,,0.1112,,,"RTD, SRL, Diam from groot",,"EE Elva, Pineta",Rosaceae,FORB,PERENNIAL,FORB,
POA CUSICKII,Accepted,POA CUSICKII,,,,,,,,0.54,,0.125,,0.35709192,,,134.2380045,,0.1684,,,"RTD, SRL, diam from groot",,"CMSS, Mattheis",Poaceae,GRASS,PERENNIAL,GRASS,
VIOLA ADUNCA,Accepted,VIOLA ADUNCA,,,,15.95,,,,0.79,,,,0.357352941,,,90.4657319,,0.30847,,,"RTD, SRL, diam from groot",,Brookdale,Violaceae,FORB,PERENNIAL,FORB,
ANEMONE PATENS,Accepted,ANEMONE PATENS,,,,,,,,,,,0.762222222,0.359426374,,,33.15708162,,,,,"depth, RTD, SRL from Groot",,"Kernen_burned, Kinsella",Ranunculaceae,FORB,PERENNIAL,FORB,
ARTEMISIA FRIGIDA,Accepted,ARTEMISIA FRIGIDA,,236.5555556,441.0966667,27.14787037,0.6096,,13.115,0.0766,15.13958917,0.1605,0.2032,0.362103739,,0.389738,34.74405462,,0.188200863,,,"Root N, SRL, Diam, RTD from groot",,"Biddulph, Cedar Point - Drought-Net, Kernen_burned, Kernen_unburned, Kinsella, Matador, Mattheis, North Platte",Compositae,"FORB, Subshrub (Kinsella, Mattheis), Shrub (North Platte)",PERENNIAL,WOODY,
ARISTIDA PURPUREA,Accepted,ARISTIDA PURPUREA,,22.65,403.4633333,9.88,0.0735,370.87,6.53,2.053,6.520633333,0.12,1.315133333,0.3626,,0.43445,50.55346667,,0.71,,,,"Root C and N, and depth from Groot","BFL, Cedar Point - Drought-Net, Jornada_LTER Drt, JRN_Chihuahuan",Poaceae,GRASS,PERENNIAL,GRASS,
POTENTILLA ERECTA,Accepted,POTENTILLA ERECTA,,148.5,447.1034495,25.74581524,0.203633333,,9.89,0.46144375,22.4188617,0.151666667,0.55,0.3627833,,0.26999508,230,,0.88602,,,rootN from groot,,Lygra_intermediate,Rosaceae,FORB,NULL,FORB,
ARTEMISIA CAMPESTRIS,Accepted,ARTEMISIA CAMPESTRIS,,208.7165,445.402,18.886,0.353,439.7811127,9.064339995,0.085,18.71203,,1.22,0.366498,,0.207975,52.76693333,,0.46,,0.685802975,"RootC and N, SRL froom Groot, Rdiam from Julie Larson",,"Biddulph, Kiskunsag",Compositae,FORB,PERENNIAL,FORB,
AMBROSIA PSILOSTACHYA,Accepted,AMBROSIA PSILOSTACHYA,,492.0375,384.206,23.246,0.4385,356.86,12.9,5.896,15.82842,0.24,0.99,0.37,,0.201,72.86943333,,0.44,,0.063284183,"SRL, Root C ,Root N, Depth from Groot, Rdiam from Larson",,"BFL, Cedar Creek Savanna, Konza Drt, Oklahoma (KAEFS-OK), SLP",Compositae,FORB,PERENNIAL,FORB,
HETEROPOGON CONTORTUS,Accepted,HETEROPOGON CONTORTUS,,495,444.9,11.22375,0.21336,426,4.15,1.878295529,9.881422925,0.1025,0.254,0.371,,,16.75282186,,0.25,,,"RTD, SLR from groot",,"BFL, Ukulinga Drought",Poaceae,GRASS,PERENNIAL,GRASS,
CHENOPODIUM ALBUM,Accepted,CHENOPODIUM ALBUM,,2390,400,27.125,1.174877193,522.34,10.87,0.690957143,22.66936863,0.29575,1.19,0.372010894,,0.177290291,215.0556376,,0.230308403,,,"rootC and N, RTD, SRL, diam from groot",,"Antelope, Bad Drought, Biddulph, Cedar Point - Drought-Net, Kinsella",Amaranthaceae,FORB,ANNUAL,FORB,
HESPEROSTIPA COMATA,Synonym,Stipa comata,"synonym already list, at different sites",92.16545455,446.8933333,12.21666667,0.224,330.31,6.55,13.852,5.904809091,0.182,1.353302,0.3762,,0.4248,35.19975,,0.38,,,RTD from Butterfield et al. 2017 Plant Ecol,,"Cedar Point - Drought-Net, Matador, Mattheis, North Platte",Poaceae,GRASS,PERENNIAL,GRASS,
GERANIUM DISSECTUM,Accepted,GERANIUM DISSECTUM,,1074.666667,433,19.13,0.151,,,2.421125,17.86,0.1001825,0.5,0.382010582,,0.238,207.6012196,,0.122766667,,,"leafN, height, SLA from PI","thick from Justin, RTD, SRL, Diam from groot","Jena, SantaCruzHigh, SantaCruzLow, SantaCruzMiddle",Geraniaceae,FORB,ANNUAL,FORB,
DESCHAMPSIA FLEXUOSA,Accepted,DESCHAMPSIA FLEXUOSA,,39.17993973,428.9047152,21.14852266,0.40801415,449.3048364,6.90123,0.529956048,17.19285365,0.335305556,0.2032,0.386033,,0.338814668,196.6766667,,0.27,32.19400419,,"RootC, SRL, from groot",,"HOIDE, HYIDE, Lygra_intermediate",Poaceae,GRASS,PERENNIAL,GRASS,
ELYMUS ELYMOIDES,Accepted,ELYMUS ELYMOIDES,,364.376,403.158,13.572,0.4235,412.68,10.19,5.856,13.868725,0.12,0.3048,0.387230769,,0.32345,48.4183,,0.62,,,,rootC from groot,"Cedar Point - Drought-Net, OCTC_GreatBasin, ORE IDE AA, ORE IDE AC",Poaceae,GRASS,PERENNIAL,GRASS,
ASPERULA CYNANCHICA,Accepted,ASPERULA CYNANCHICA,,18.4,,,0.284375,,,0.848,27.91666667,,0.93,0.3908625,,0.323386667,22.875,,0.16639,,,,,"Allmend Brachy, Allmend Ovina",Rubiaceae,FORB,PERENNIAL,FORB,
STIPA CURTISETA,Synonym,STIPA SPARTEA,"synonym already list, at different sites",,,,,,,,,,,0.393143677,,,55.514,,0.2496,,,,,"Brookdale, Kernen_burned, Kernen_unburned, Kinsella",Poaceae,GRASS,PERENNIAL,GRASS,
STIPA SPARTEA,Accepted,STIPA SPARTEA,,1200.542117,459.3430385,14.01546154,0.576,,18,12.99977456,8.74965934,,0.254,0.393143677,,0.416652263,61.25734351,,0.2496,,0.163065063,"RTD, SRL, diam from groot",,"Brookdale, Cedar Creek Savanna, Cedar Creek Trait ",Poaceae,GRASS,PERENNIAL,GRASS,
SCHIZACHYRIUM SCOPARIUM,Accepted,SCHIZACHYRIUM SCOPARIUM,,243.956,448.554,9.196,0.5145,442.39,8.51,1.438,16.698695,0.09,0.3048,0.403212551,,0.334066667,75.67983333,71.30034186,0.2,,0.476882281,RTD from groot,,"BFL, Cedar Creek Savanna, Cedar Creek Trait, Oklahoma (KAEFS-OK), Purdue Wildlife Area, Sandhills",Poaceae,GRASS,PERENNIAL,GRASS,
PLANTAGO PATAGONICA,Accepted,PLANTAGO PATAGONICA,,142.1875,,16.75319,0.1524,,,0.541610306,7.068,0.13,0.1524,0.406666667,,0.239157,171.778132,,0.173233333,,,"RTD, SRL,Diam from groot",,"Cap Mcdowell, Cap Whitetank, Cedar Point - Drought-Net, Monte Oriental, North Platte, Oklahoma (KAEFS-OK), San Pablo Valdes Drt",Plantaginaceae,FORB,ANNUAL,FORB,
RUELLIA HUMILIS,Accepted,RUELLIA HUMILIS,,790,,17,0.502906667,,,3.750411836,12.07550636,0.16,0.1016,0.40803047,,0.518555292,18.40109592,,0.42,,,"RTD, SRL from groot",,Konza Drt,Acanthaceae,FORB,PERENNIAL,FORB,
EUPHORBIA CYPARISSIAS,Accepted,EUPHORBIA CYPARISSIAS,,25,494,29,0.2375,435.6,8.96,1.9815,23.6,,0.89,0.411,,,6.4,,0.699,,,,,"Allmend Brachy, Allmend Ovina",Euphorbiaceae,FORB,PERENNIAL,FORB,
QUERCUS ROBUR,Accepted,QUERCUS ROBUR,,3039.738,478.419374,24.42945338,28.99780993,511.11,6.81818,3026.534722,15.01987684,0.146849383,0.8140625,0.413216648,,0.334603739,36.66267142,0.827217233,0.781345345,,,"RootC, depth,RTD, SRL, diam from groot",,Bayreuth_DroughtNet,Fagaceae,WOODY,PERENNIAL,WOODY,
ASTRAGALUS AGRESTIS,Accepted,ASTRAGALUS AGRESTIS,,,,,0.3048,,25.48,3.774154589,,,0.254,0.416287,,,20.82529,,0.38865,,,,,Kinsella,Fabaceae,FORB,PERENNIAL,LEGUME,
GERANIUM PUSILLUM,Accepted,GERANIUM PUSILLUM,,,,17.47,0.2,,,,26.42,,0.59,0.417391304,,,192.0238007,,0.1212,,,"leafN, height, SLA from PI","RTD, SLR, Diam from groot",Jena,Geraniaceae,FORB,NULL,FORB,
ROSA ARKANSANA,Accepted,ROSA ARKANSANA,,2052.76675,433.2345,17.3145,0.292,,,14.9,17.98307476,,6.4516,0.421153994,,,41.52607134,,0.30555,,0.202533563,"depth, RTD, SRL, diam from groot",,"Biddulph, Cedar Creek Savanna, Cedar Creek Trait, Kernen_burned, Kernen_unburned",Rosaceae,SHRUB,PERENNIAL,WOODY,
THLASPI ARVENSE,Accepted,THLASPI ARVENSE,,1214.333333,,,0.423333333,,,1.098168571,24.42761317,0.18,0.49,0.42845,,0.165666667,105,,0.2761525,,,,,Hardware Ranch,Brassicaceae,FORB,ANNUAL,FORB,
PSORALIDIUM TENUIFLORUM,Synonym,PSORALEA TENUIFLORA,Synonym,247.05,,24.275,0.056,,,,16.82,0.29,2.7686,0.43,,0.274711,,,0.67,,,"depth from groot, leaf N, height, SLA, Rdiam from Julie Larson",,"Cedar Point - Drought-Net, Konza Drt, North Platte, Oklahoma (KAEFS-OK)",Fabaceae,FORB,PERENNIAL,LEGUME,
VICIA SATIVA,Accepted,VICIA SATIVA,,1286,,32.1,0.7509,389,3.5,26.49725535,26.61714286,,0.3048,0.430769231,,0.2175,60.47073255,,0.222666667,,,"rootC and N, RTD, SRL, diam from groot",,"Bad Drought, Bayreuth_DroughtNet, Bivens Arm, Cowichan Drt, SantaCruzHigh, SantaCruzLow, SantaCruzMiddle, Yarramundi Drt",Fabaceae,FORB,ANNUAL,LEGUME,
KOELERIA MACRANTHA,Accepted,KOELERIA MACRANTHA,,170.5395,430.652,14.632,0.117368421,431.68,8.54,0.11,10.603875,0.258,0.508,0.43423927,,0.43855,61.632225,,0.231432767,,,"RootC and N, RTD, SRL, diam from groot",,"Biddulph, Cedar Point - Drought-Net, CMSS, Hardware Ranch, Kinsella, Konza Drt, Matador, Mattheis, Oklahoma (KAEFS-OK)",Poaceae,GRAMINOID,PERENNIAL,GRASS,
ERODIUM CICUTARIUM,Accepted,ERODIUM CICUTARIUM,,83.088,423.5566667,34.47666667,0.0275,326.44,11.48,2.389,28.8428,0.2286,0.5,0.43626943,,0.215741667,71.7331,,0.1243,,,"RootC and N, RTD,  Diam from groot",,"Cap Mcdowell, CredoJ, CredoM, Gmdrc Granitecove, Gmdrc Molar Junction, La Campana North Facing, La Campana South Facing, Quebrada de Talca North Facing, Quebrada de Talca South Facing, SantaCruzHigh, SantaCruzLow, SantaCruzMiddle, San Pablo Valdes Drt",Geraniaceae,FORB,ANNUAL,FORB,
LEPIDIUM DENSIFLORUM,Accepted,LEPIDIUM DENSIFLORUM,,244.7163636,424.7933333,46.39666667,0.32,417.09,14.21,0.573,22.39565455,0.13,,0.43647638,,0.175845455,190.8904667,,0.137691667,,,"RootC and N, RTD, SRL, diam from groot",,Cedar Point - Drought-Net,Brassicaceae,FORB,ANNUAL,FORB,
ENNEAPOGON POLYPHYLLUS,Accepted,ENNEAPOGON POLYPHYLLUS,,131.4923,430,10.55,0.325,550,3.7,1.476333333,7.035333333,0.14,,0.44,,,,,0.6,,,RTD from groot,,"CredoJ, CredoM",Poaceae,GRASS,PERENNIAL,GRASS,
JUNCUS BUFONIUS,Accepted,JUNCUS BUFONIUS,,80.5,,30.38,0.3274,,,0.01913475,16.59282222,0.305,0.1524,0.44,,0.1365,292.3895145,,0.090766667,,,"RTD, SRL, Diam from groot",,"Jilpanger, SantaCruzHigh, SantaCruzLow",Juncaceae,GRASS,ANNUAL,GRAMINOID,
BROMUS STERILIS,Accepted,BROMUS STERILIS,,467.3333333,469,27.9,0.658333333,,,7.269666667,30.5349098,0.148666667,1.5,0.4459545,,0.23075,279.231,,27.13865385,,,depth from groot,,"Bad Drought, Cowichan Drt",Poaceae,GRASS,ANNUAL,GRASS,
BOUTELOUA GRACILIS,Synonym,Chondrosum gracile,"synonym already list, at different sites",109.699,419.62,15.416,0.345,391.23,14.76,0.34,12.868115,0.053,0.135,0.447182567,,0.41375,118.8815333,,0.192729167,,0.368393,"RootC and N, RTD, SRL, Diam from Groot",rootDiam from Justin,"Cedar Point - Drought-Net, Cedar Creek Trait, Konza Drt, Matador, Mattheis, North Platte",Poaceae,GRASS,PERENNIAL,GRASS,
ACER PLATANOIDES,Accepted,ACER PLATANOIDES,,7530.930667,,20.09269841,24.86933333,433.41,10.98000555,120.6161196,23.73468194,0.127023238,1.016,0.452549377,,0.325994623,28.23956406,,0.953838934,,,"rootC, rootN, RTD, SRL, Diam from GRooT",,Bad Drought,Sapindaceae,WOODY,PERENNIAL,WOODY,
BROMUS TECTORUM,Accepted,BROMUS TECTORUM,,164.0213636,423.13,18.768,0.198681818,416.2256622,7.006735802,2.433,17.28496,0.162,0.90288,0.47,,0.1522,31.204325,,0.57,,,"RootC and N, depth RTD from groot, Rdiam from Julie Larson",,"Cowichan Drt, Hardware Ranch, NNSS_Mojave, North Platte, OCTC_GreatBasin, ORE IDE AC",Poaceae,GRASS,ANNUAL,GRASS,
SPOROBOLUS CRYPTANDRUS,Accepted,SPOROBOLUS CRYPTANDRUS,,954.8,449.66,12.97358435,0.352,,27.8335825,0.0988,23.90754717,0.115,0.4572,0.476,,0.403268,22.63833333,,,,,"RootN, RTD, SRL from groot",,"Cedar Point - Drought-Net, Cedar Creek Savanna, JRN_Chihuahuan, Sevilleta_Black",Poaceae,GRASS,PERENNIAL,GRASS,
