"","leafN","height","rootN","SLA","root_depth","RTD","SRL","root_diam"
"Liatris_aspera",12.33641253,0.68,20.498833,17.00092904,0.548632841231941,0.135313282,193.6403191,0.335858333
"Liatris_squarrosa",22.06384,0.4548,19.2369864740374,16.33650548,0.67,0.128228563925262,119.699079567465,0.29674491001045
"Liatris_punctata",16.817,0.6096,19.3839558354431,9.8333502,0.3556,0.16753096,118.8077502,0.3044
"Helianthus_annuus",18,2.847733333,27.3,18.91505647,0.2032,0.086907021,191.3969043,0.945853228
"Helianthus_pauciflorus",28.3222739607901,0.39,20.5203062275034,9.153001144,1.27,0.19,52,0.36
"Ambrosia_tenuifolia",18.2,4.572,18.872812846304,9.366271504,0.6096,0.363287336851851,178.904772798339,0.762624191920592
"Ambrosia_artemisiifolia",23.1,0.226,15.077975,21.45333609,1.22,0.08,135,0.36
"Ambrosia_psilostachya",23.246,0.4385,12.9,15.82842,0.99,0.37,72.86943333,0.44
"Parthenium_integrifolium",15.3,0.7746,18.3001780066874,10.84,1.8,0.225511502005423,154.415839375153,0.45514671048708
"Coreopsis_tinctoria",14.704,0.1905,12.73,14.36677143,0.868414117562116,0.164041623564534,28.59345,0.286190843817331
"Coreopsis_palmata",12.06502778,0.614,18.5591,18.06209157,0.80833477909641,0.1,82.33333333,0.33
"Thelesperma_filifolium",24.36,0.18804,15.1648527666137,13.73905805,0.80720647054917,0.158753574226936,15.93810075102,0.276611193923133
"Centipeda_cunninghamii",24.2291269714057,0.2,16.4763828923985,18.1,0.768534664588901,0.145497587210304,114.266703043226,0.330287525289876
"Chrysocephalum_apiculatum",27.1,0.4,24.1411272448896,16.64122201,0.712133803446118,0.106368887039085,222.584478840552,0.280719534944448
"Blennospora_drummondii",25.9005718009179,0.06807094,23.9709349999072,18.695174,0.753190743175071,0.0814689845804169,225.837429405873,0.260210047730132
"Quinetia_urvillei",25.9335410425506,0.2,24.002674353123,28.711511,0.710107283051645,0.000193869616109572,232.073228547348,0.302469602661786
"Hyalosperma_demissum",27.0589096813119,0.03518491,23.7477972155631,38.104966,0.697750086316935,-0.0815819507793351,228.585320226762,0.315437303034164
"Cephalipterum_drummondii",25.8935861743099,0.33086325,24.0475624334829,37.282501,0.671493839434391,-0.0690073477836129,237.990686912159,0.340291880227676
"Gnaphalium_supinum",22.46381487,0.363624058026332,28.1,27.00300375,0.711612021908752,-0.0120720445336064,307.39,0.29
"Machaeranthera_pinnatifida",21.977349604783,0.699051076699831,10.1156196251421,14.18259087,1.335,0.194855106381359,9.58714,0.248
"Symphyotrichum_oolentangiense",16.02907407,0.7209,19.81443763,14.68950044,0.605189998000926,0.12,81.16666667,0.35
"Symphyotrichum_lanceolatum",25.1,1.8288,13.8491089441051,12.754,0.2032,0.15,68,0.36
"Symphyotrichum_falcatum",22.282,0.4175,8.69,14.18715,0.654191494410338,0.117472,79.08403333,0.31118
"Symphyotrichum_laeve",11.6,0.976666667,9.78,14.28815235,0.724613874586524,0.253411079,69.91354785,0.323475
"Symphyotrichum_novae-angliae",12.17017,1.022302632,10.7600600618714,23.88988777,0.676537556967759,0.12,52,0.46
"Symphyotrichum_ericoides",12.6,0.7802222,11.01821,20.14194711,0.76,0.151923077,73.83666667,0.3263
"Symphyotrichum_oblongifolium",13.7368957369693,0.894297009878387,9.72833764699851,10.48,0.73,0.324153605,44.79630213,0.314933333
"Symphyotrichum_pilosum",17.8,0.861666667,10.1586237576681,18.27837298,0.688696011245766,0.199370952150328,36.062966933337,0.34441688099652
"Heterotheca_subaxillaris",25.4114756214678,1.8,12.2311572077598,16.2,0.438814378500146,0.20440878185805,70.3597705723382,0.406983964736028
"Noticastrum_sericeum",30.175,1.51066992184877,11.5646573908211,36.99,0.389185663724039,0.0261894532978719,51.5387453659435,0.438672133244198
"Solidago_nemoralis",15.47778333,0.57,23.31317375,13.95394921,0.3048,0.129791058,208.2087011,0.369872222
"Solidago_virgaurea",28.29400969,0.509,16.4,25.12385635,0.046,0.0863392575037044,4.546172562,0.524574564
"Solidago_rigida",11.83477126,0.598,8.386758333,10.23214847,0.3048,0.212780118,35.33592984,0.482373411
"Solidago_missouriensis",13.3335,0.576,10.93,10.60804205,0.2032,0.208174196,100.2127031,0.323716667
"Solidago_canadensis",15.13338959,1.30146,12.1144139462272,17.75668436,0.3048,0.16621151379645,77.59504262,0.486273328
"Gutierrezia_sarothrae",18.68,0.23,12.4,9.393567894,0.4064,0.225,82.1343,0.2661
"Euthamia_graminifolia",19.4891582,0.798,12.5309713873514,12.04198841,0.385502485462632,0.215502614433851,87.4755085394782,0.330419837281607
"Erigeron_strigosus",12.3765,0.566,8.46948487377222,24.97386549,0.254,0.276854627462638,81.1019698515512,0.26859721430137
"Erigeron_annuus",13.87251282,0.790891667,7.53936342802189,23.37334387,1.02,0.32875817,62.7520477,0.25
