"","Taxon","site_code","X.x","n_treat_years.x","sum.ctrl.cover.x","mean.ctrl.cover.x","sum.drt.cover.x","mean.drt.cover.x","sum.cover.response.x","mean.cover.response.x","X.1","X.y","n_treat_years.y","sum.ctrl.cover.y","mean.ctrl.cover.y","sum.drt.cover.y","mean.drt.cover.y","sum.cover.response.y","mean.cover.response.y","diff.drt.trt","leafN.mg.g","height.m","rootN.mg.g","SLA_m2.kg","root.depth_m","RTD.g.cm3","SRL_m.g","rootDiam.mm","local_lifeform","local_lifespan","functional_group","site.id"
"235","ERIGERON STRIGOSUS","oklah.us",4776,1,3.5,1.75,3.5,1.75,0,0,4777,4777,2,18,9,3,3,-15,-6,1.25,12.3765,0.566,NA,24.97386549,0.254,NA,NA,NA,"FORB","PERENNIAL","FORB",32
"66","ASTRANTIA MAJOR","pineta.es",5344,1,3,3,24,8,21,5,5345,5345,2,3.5,1.75,27.5,5.5,24,3.75,-2.5,28.539,0.4215,NA,22.75909384,NA,NA,NA,NA,"FORB","PERENNIAL","FORB",37
"182","CRUCIATA GLABRA","pineta.es",5348,1,0.5,0.5,0.5,0.5,0,0,5349,5349,2,0.5,0.5,1,0.5,0.5,0,0,17.002,0.194,NA,21.52069774,0.14,NA,NA,NA,"FORB","PERENNIAL","FORB",37
"192","DACTYLORHIZA MACULATA","pineta.es",5351,1,2,0.5,4.5,1.125,2.5,0.625,5352,5352,2,1.5,0.5,1,0.5,-0.5,0,-0.625,22.6,0.6,NA,24.23285714,NA,NA,NA,NA,"FORB","PERENNIAL","FORB",37
"193","DACTYLORHIZA MACULATA","lygraint.no",4111,1,1,1,0,0,-1,-1,4112,4112,2,2,2,1,1,-1,-1,1,22.6,0.6,NA,24.23285714,NA,NA,NA,NA,"FORB","PERENNIAL","FORB",26
"226","Epipactis PALUSTRIS","pineta.es",5355,1,31,15.5,3,3,-28,-12.5,5356,5356,2,24,8,3,3,-21,-5,0,NA,NA,NA,22.62,NA,NA,NA,NA,"FORB","PERENNIAL","FORB",37
"274","GALIUM SAXATILE","lygraint.no",4129,1,3,3,2,1,-1,-2,4130,4130,2,3,3,2,2,-1,-1,1,25.1,0.175,NA,25.08983957,NA,NA,NA,NA,"FORB","PERENNIAL","FORB",26
"287","GYMNADENIA CONOPSEA","pineta.es",5362,1,0,0,1,0.5,1,0.5,5363,5363,2,0,0,1,0.5,1,0.5,0,28.85621237,0.45,NA,19.92759166,0.07,NA,NA,NA,"FORB","PERENNIAL","FORB",37
"303","HEPATICA NOBILIS","pineta.es",5364,1,0,0,6,3,6,3,5365,5365,2,0.5,0.5,3.5,1.75,3,1.25,-1.25,24,NA,NA,27.165,NA,NA,NA,NA,"FORB","PERENNIAL","FORB",37
"362","LYSIMACHIA EUROPAEA","lygraint.no",4147,1,4,2,2,1,-2,-1,4148,4148,2,14,4.666666667,3,1,-11,-3.666666667,0,32.8,0.09,NA,51,NA,NA,NA,NA,"FORB","PERENNIAL","FORB",26
"374","NARTHECIUM OSSIFRAGUM","lygraold.no",4249,1,0,0,6,3,6,3,4250,4250,2,0,0,2,2,2,2,-1,24.7,0.2325,NA,24.15,0.22,NA,NA,NA,"FORB","PERENNIAL","FORB",27
