"","Taxon","site_code","mean.drt.cover.yr1","mean.drt.cover.yr2","diff.drt.trt","leafN.mg.g","height.m","rootN.mg.g","SLA_m2.kg","root.depth_m","RTD.g.cm3","SRL_m.g","rootDiam.mm","local_lifeform","local_lifespan","functional_group"
"39","ARISTIDA JUNCIFORMIS","ukulingadrt.za",9,25,16,9.7441916,NA,NA,8.6,NA,NA,NA,NA,"GRASS","PERENNIAL","GRASS"
"40","ARMERIA MARITIMA","paike.ar",1,1,0,17,0.308106667,9.3,21.1502,0.254,0.2612175,57.875,0.221876923,"FORB","PERENNIAL","FORB"
"41","ARRHENATHERUM ELATIUS","rhijn.nl",20,23.33333333,3.333333333,25.84,0.857,8.902914385,29.67,0.3556,0.119407807,190.1954961,0.304707692,"GRASS, Forb (Jena)","PERENNIAL","GRASS"
"42","ARRHENATHERUM ELATIUS","validate.fr",9.6,11.6,2,25.84,0.857,8.902914385,29.67,0.3556,0.119407807,190.1954961,0.304707692,"GRASS, Forb (Jena)","PERENNIAL","GRASS"
"43","ARTEMISIA CANA","oreac.us",34.5,28,-6.5,24,1.524,NA,10.06,0.508,0.261669741,55.91952402,0.31,"SHRUB","PERENNIAL","WOODY"
"44","ARTEMISIA FRIGIDA","mattheis.ca",17.6,10,-7.6,27.14787037,0.6096,13.115,15.13958917,0.2032,0.362103739,34.74405462,0.188200863,"FORB, Subshrub (Kinsella, Mattheis), Shrub (North Platte)","PERENNIAL","WOODY"
"45","ARTEMISIA FRIGIDA","kernb.ca",6.666666667,6.666666667,-3.33e-10,27.14787037,0.6096,13.115,15.13958917,0.2032,0.362103739,34.74405462,0.188200863,"FORB, Subshrub (Kinsella, Mattheis), Shrub (North Platte)","PERENNIAL","WOODY"
"46","ARTEMISIA FRIGIDA","kinsella.ca",14.5,14.5,0,27.14787037,0.6096,13.115,15.13958917,0.2032,0.362103739,34.74405462,0.188200863,"FORB, Subshrub (Kinsella, Mattheis), Shrub (North Platte)","PERENNIAL","WOODY"
"47","ARTEMISIA FRIGIDA","matador.ca",1.333333333,1.166666667,-0.166666666,27.14787037,0.6096,13.115,15.13958917,0.2032,0.362103739,34.74405462,0.188200863,"FORB, Subshrub (Kinsella, Mattheis), Shrub (North Platte)","PERENNIAL","WOODY"
"48","ARTEMISIA FRIGIDA","biddulph.ca",2,10,8,27.14787037,0.6096,13.115,15.13958917,0.2032,0.362103739,34.74405462,0.188200863,"FORB, Subshrub (Kinsella, Mattheis), Shrub (North Platte)","PERENNIAL","WOODY"
"49","ARTEMISIA LUDOVICIANA","brookdale.ca",1.95,1.458333333,-0.491666667,19.24454545,0.597,11.63,16.4954108,0.2032,0.222016659,76.92231348,0.31821746,"FORB","PERENNIAL","FORB"
"50","ARTEMISIA LUDOVICIANA","cedarsav.us",1,2,1,19.24454545,0.597,11.63,16.4954108,0.2032,0.222016659,76.92231348,0.31821746,"FORB","PERENNIAL","FORB"
"51","ARTEMISIA LUDOVICIANA","kernb.ca",3,1.75,-1.25,19.24454545,0.597,11.63,16.4954108,0.2032,0.222016659,76.92231348,0.31821746,"FORB","PERENNIAL","FORB"
"52","ARTEMISIA LUDOVICIANA","biddulph.ca",1,3,2,19.24454545,0.597,11.63,16.4954108,0.2032,0.222016659,76.92231348,0.31821746,"FORB","PERENNIAL","FORB"
"53","ARTEMISIA LUDOVICIANA","kernnu.ca",3,2.5,-0.5,19.24454545,0.597,11.63,16.4954108,0.2032,0.222016659,76.92231348,0.31821746,"FORB","PERENNIAL","FORB"
"54","ARTEMISIA TRIDENTATA","hard.us",35,35,0,15.26666667,2.0334,NA,7.24415531,0.508,NA,76.06224385,0.485315,"SHRUB","PERENNIAL","WOODY"
"55","ASPERULA CYNANCHICA","allmendb.ch",0.25,0.25,0,NA,0.284375,NA,27.91666667,0.93,0.3908625,22.875,0.16639,"FORB","PERENNIAL","FORB"
"56","ASPERULA CYNANCHICA","allmendo.ch",2.375,2.375,0,NA,0.284375,NA,27.91666667,0.93,0.3908625,22.875,0.16639,"FORB","PERENNIAL","FORB"
"57","ASTEROLASIA TRYMALIOIDES","falls.au",0.75,0.5,-0.25,NA,0.54,NA,4.969295,NA,NA,NA,NA,"SHRUB","PERENNIAL","WOODY"
"58","ASTRANTIA MAJOR","pineta.es",8,5.5,-2.5,28.539,0.4215,NA,22.75909384,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"63","BELLIS PERENNIS","jenadrt.de",5,1.333333333,-3.666666667,17.81,0.165,8.4,34.15,0.18,0.130088142,324.9590331,0.243322583,"FORB","PERENNIAL","FORB"
