"","Taxon","site_code","mean.drt.cover.yr1","mean.drt.cover.yr2","diff.drt.trt","leafN.mg.g","height.m","rootN.mg.g","SLA_m2.kg","root.depth_m","RTD.g.cm3","SRL_m.g","rootDiam.mm","local_lifeform","local_lifespan","functional_group"
"12","AGROSTIS CANINA","lygraold.no",2,1,-1,20.86288625,0.4223,9.3,33.1583154,0.254,NA,NA,0.15,"GRASS","NULL","GRASS"
"13","AGROSTIS CANINA","lygraint.no",1,1,0,20.86288625,0.4223,9.3,33.1583154,0.254,NA,NA,0.15,"GRASS","NULL","GRASS"
"14","AGROSTIS CAPILLARIS","pineta.es",37.16666667,2.16666666666667,-35.0000000033333,27.65006595,0.393022873,8.907142857,29.44748071,0.3048,0.230872486,141.2639378,0.128571429,"GRASS","PERENNIAL","GRASS"
"15","AGROSTIS MONTEVIDENSIS","marcdrt.ar",5.5,5.33333333333333,-0.16666666666667,NA,0.229358974,NA,12,NA,NA,NA,NA,"FORB","PERENNIAL","GRASS"
"16","AGROSTIS RUPESTRIS","passogavia.it",1.7,1.7,0,17,0.035,NA,15.5,NA,NA,NA,NA,"GRASS","PERENNIAL","GRASS"
"20","ALOPECURUS PRATENSIS","validate.fr",16.4,20.6,4.2,23.8325776,0.806266667,9.698958476,27.30021588,0.3048,0.069943613,230.6921222,0.305414955,"GRASS","PERENNIAL","GRASS"
"28","ANDROPOGON GERARDII","cedartrait.us",6.4,1,-5.4,11.43191184,1.43,14.4,7.475763032,0.508,0.2,65.1,0.7,"GRASS","PERENNIAL","GRASS"
"29","ANDROPOGON GERARDII","konzadrt.us",53.6,15,-38.6,11.43191184,1.43,14.4,7.475763032,0.508,0.2,65.1,0.7,"GRASS","PERENNIAL","GRASS"
"30","ANDROPOGON GERARDII","cedarsav.us",8.8,9,0.199999999999999,11.43191184,1.43,14.4,7.475763032,0.508,0.2,65.1,0.7,"GRASS","PERENNIAL","GRASS"
"31","ANDROPOGON GERARDII","brookdale.ca",2.611111111,1.25,-1.361111111,11.43191184,1.43,14.4,7.475763032,0.508,0.2,65.1,0.7,"GRASS","PERENNIAL","GRASS"
"32","ANTHOXANTHUM ODORATUM","cowidrt.ca",3.4,1,-2.4,23.59023243,0.383753535,8.005555556,24.91123988,0.155,0.107066623,344.3025853,0.111111111,"GRASS","PERENNIAL","GRASS"
"33","ANTHOXANTHUM ODORATUM","elvadrt.ee",1.5,1.33333333333333,-0.16666666666667,23.59023243,0.383753535,8.005555556,24.91123988,0.155,0.107066623,344.3025853,0.111111111,"GRASS","PERENNIAL","GRASS"
"35","APERA SPICA-VENTI","baddrt.de",9.366666667,0.3,-9.066666667,NA,0.775,NA,19.13333333,0.66,NA,193.8,NA,"GRASS","ANNUAL","GRASS"
"37","ARISTIDA HOLATHERA","ethadn.au",2.5,3,0.5,8.4875,0.7,2.975,5.62,NA,0.745,NA,0.375,"GRASS","ANNUAL","GRASS"
"38","ARISTIDA HOLATHERA","ethadb.au",3,12.5,9.5,8.4875,0.7,2.975,5.62,NA,0.745,NA,0.375,"GRASS","ANNUAL","GRASS"
"39","ARISTIDA JUNCIFORMIS","ukulingadrt.za",9,25,16,9.7441916,NA,NA,8.6,NA,NA,NA,NA,"GRASS","PERENNIAL","GRASS"
"41","ARRHENATHERUM ELATIUS","rhijn.nl",20,23.3333333333333,3.3333333333333,25.84,0.857,8.902914385,29.67,0.3556,0.119407807,190.1954961,0.304707692,"GRASS, Forb (Jena)","PERENNIAL","GRASS"
"42","ARRHENATHERUM ELATIUS","validate.fr",9.6,11.6,2,25.84,0.857,8.902914385,29.67,0.3556,0.119407807,190.1954961,0.304707692,"GRASS, Forb (Jena)","PERENNIAL","GRASS"
"59","AVENA BARBATA","scruzl.us",1.2195122,9,7.7804878,17,0.389,NA,25.674375,0.5,0.02363125,149,0.373688235,"GRASS","ANNUAL","GRASS"
